reduction_method,clustering_method,run_id,timestamp,run_type,params,output,notes
pca,agglomerative,s1.1_c150_n_clust4,23-07-26 20:11,production,"{""reduction_params"": {""n_components"": 150, ""random_state"": 0}, ""clustering_params"": {""n_clusters"": 4, ""linkage"": ""ward""}}",results/lesion/dim_reduction_clustering/pca/agglomerative/23-07_s1.1_c150_n_clust4,"pca (n_components=150) + all 5 clustering methods, voxel-wise matrix"
pca,dbscan,s1.1_c150_e05,23-07-26 20:11,production,"{""reduction_params"": {""n_components"": 150, ""random_state"": 0}, ""clustering_params"": {""eps"": 0.5, ""min_samples"": 5}}",results/lesion/dim_reduction_clustering/pca/dbscan/23-07_s1.1_c150_e05,"pca (n_components=150) + all 5 clustering methods, voxel-wise matrix"
pca,gmm,s1.1_c150_n_comp4,23-07-26 20:11,production,"{""reduction_params"": {""n_components"": 150, ""random_state"": 0}, ""clustering_params"": {""n_components"": 4, ""random_state"": 0}}",results/lesion/dim_reduction_clustering/pca/gmm/23-07_s1.1_c150_n_comp4,"pca (n_components=150) + all 5 clustering methods, voxel-wise matrix"
pca,kmeans,s1.1_c150_k4,23-07-26 20:11,production,"{""reduction_params"": {""n_components"": 150, ""random_state"": 0}, ""clustering_params"": {""n_clusters"": 4, ""random_state"": 0, ""n_init"": ""auto""}}",results/lesion/dim_reduction_clustering/pca/kmeans/23-07_s1.1_c150_k4,"pca (n_components=150) + all 5 clustering methods, voxel-wise matrix"
pca,spectral,s1.1_c150_n_clust4,23-07-26 20:11,production,"{""reduction_params"": {""n_components"": 150, ""random_state"": 0}, ""clustering_params"": {""n_clusters"": 4, ""affinity"": ""nearest_neighbors"", ""random_state"": 0}}",results/lesion/dim_reduction_clustering/pca/spectral/23-07_s1.1_c150_n_clust4,"pca (n_components=150) + all 5 clustering methods, voxel-wise matrix"
