n_clusters,n_neighbors,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
2,10,0.41491544246673584,1071.4134217833648,0.9389450663619169,0.0
2,30,0.4095741808414459,1080.4302055148805,0.9497974451921825,0.0
2,50,0.41260334849357605,1079.7559674395934,0.9442522157166614,0.0
2,100,0.41273102164268494,1079.8989972207332,0.9443450676307082,0.0
3,10,0.3503987789154053,798.0628832769708,0.8801068232327466,0.0
3,30,0.3538428843021393,809.4170592616739,0.8757801602646045,0.0
3,50,0.3519839644432068,796.935664104431,0.8727834696932474,0.0
3,100,0.35507869720458984,813.4392447647992,0.880451238710071,0.0
4,10,0.3800070583820343,972.9539522644326,0.8470646121493262,0.0
4,30,0.38535618782043457,992.9472231695328,0.8534761814466731,0.0
4,50,0.3901825547218323,1017.8415947843336,0.8594001437498808,0.0
4,100,0.39830440282821655,1058.4422074577403,0.8700163039471047,0.0
5,10,0.3829929232597351,1003.0177468368818,0.7799370689016134,0.0
5,30,0.39227497577667236,1066.6452426177034,0.8259162252219145,0.0
5,50,0.3980345129966736,1091.3033706787085,0.8299156009184507,0.0
5,100,0.39923375844955444,1103.17141826198,0.8629559037568633,0.0
6,10,0.34943172335624695,891.5809593024535,0.7602489521336508,0.0
6,30,0.3586786687374115,969.0533283522965,0.8205046877717499,0.0
6,50,0.362430602312088,979.084896522714,0.8276533163812269,0.0
6,100,0.37937748432159424,1085.477894250355,0.8803387853189664,0.0
8,10,0.30219021439552307,774.1547263701899,0.8317310004834547,0.0
8,30,0.3476475477218628,961.5828937684446,0.8467575236034705,0.0
8,50,0.3513815104961395,1003.8855304482286,0.8495519279963648,0.0
8,100,0.3769277334213257,1108.3064521736983,0.8302347452575605,0.0
10,10,0.35830456018447876,929.3209465566808,0.7615389220419327,0.0
10,30,0.3854658901691437,1111.3474901331053,0.773147889333343,0.0
10,50,0.35690295696258545,1064.1605952244388,0.8157803908126006,0.0
10,100,0.37152397632598877,1125.1340668190746,0.8045677273116569,0.0
11,10,0.34907278418540955,1006.4537317413007,0.7601090426415698,0.0
11,30,0.36925801634788513,1124.7881872509822,0.793446126426579,0.0
11,50,0.37022003531455994,1144.682261236333,0.7816439625884507,0.0
11,100,0.3783781826496124,1188.6159974823888,0.787822257809821,0.0
12,10,0.33345454931259155,982.6814076880116,0.7991410488333587,0.0
12,30,0.3647960126399994,1122.0626377487404,0.7880767007935631,0.0
12,50,0.37517228722572327,1166.9502023807527,0.7791099311475644,0.0
12,100,0.3792053163051605,1200.1180936781093,0.784226426545174,0.0
13,10,0.35613808035850525,1065.1471377987045,0.7590761934369533,0.0
13,30,0.3698629140853882,1181.455767227153,0.7653214826951376,0.0
13,50,0.36902105808258057,1185.5938604725452,0.7820435935304487,0.0
13,100,0.3791612982749939,1231.7459196717116,0.8012436202712789,0.0
14,10,0.33348366618156433,999.1619989165682,0.7698685032705042,0.0
14,30,0.3618209660053253,1170.969509434266,0.76677145782676,0.0
14,50,0.3697899281978607,1216.9500862683462,0.7724457312081972,0.0
14,100,0.3771083652973175,1226.9942698033535,0.7838994503044842,0.0
15,10,0.33554407954216003,1023.0135481490064,0.7858747799734819,0.0
15,30,0.34913864731788635,1139.4814347616832,0.7670890452596202,0.0
15,50,0.36394137144088745,1206.884951311721,0.7697238288180273,0.0
15,100,0.3735351860523224,1229.44479664436,0.7716164427375279,0.0
