n_clusters,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
2,0.45551106333732605,907.5949077908058,0.7381913030029302,0.0
3,0.44112637639045715,1167.7326617819913,0.8795527572435984,0.0
4,0.4769400656223297,1442.3146637302762,0.7003501151260713,0.0
5,0.4690016806125641,1331.0087686947495,0.7229632202965937,0.0
6,0.49157023429870605,1479.1831113678536,0.7378341161897275,0.0
8,0.49273088574409485,1563.9026660627965,0.6770861558129928,0.0
10,0.4357546269893646,1721.915083182721,0.7703496768571939,0.0
