n_clusters,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
2,0.45551106333732605,907.5949077908058,0.7381913030029302,0.0
3,0.44112637639045715,1167.7326617819913,0.8795527572435984,0.0
4,0.4769400656223297,1442.3146637302762,0.7003501151260713,0.0
5,0.4690016806125641,1331.0087686947495,0.7229632202965937,0.0
6,0.49157023429870605,1479.1831113678536,0.7378341161897275,0.0
8,0.49273088574409485,1563.9026660627965,0.6770861558129928,0.0
10,0.4357546269893646,1721.915083182721,0.7703496768571939,0.0
11,0.42231178283691406,1715.7425921324448,0.7549544652098376,0.0
12,0.4158465266227722,1744.2025588055328,0.7599331974421979,0.0
13,0.4070730209350586,1693.636140571218,0.758198328645168,0.0
14,0.41661158204078674,1770.089405495339,0.7720029745012438,0.0
15,0.41261082887649536,1801.3872872772365,0.7847437024533729,0.0
