n_clusters,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
2,0.4186509637480735,1103.6557996914225,0.936300436826249,0.0
3,0.34570495228049763,772.3834852480701,0.8868695792219912,0.0
4,0.3934024560243673,1035.5554948150975,0.8528635578488589,0.0
5,0.3970755943019023,1095.660959134917,0.8317917794022789,0.0
6,0.32407625751607233,911.9571139769874,0.8505467670903436,0.0
8,0.34866370802966423,974.193107043873,0.8504998023074966,0.0
10,0.3491692936347423,1030.0345569898866,0.8164904886324489,0.0
11,0.3671606570058762,1130.224539007824,0.7999155242335612,0.0
12,0.37279152936596266,1161.5204720523823,0.7753054995431478,0.0
13,0.3773796579060603,1193.738384329783,0.7741086443960992,0.0
14,0.3570336693154464,1182.9571516912868,0.7785054206127117,0.0
15,0.3680480722784207,1211.921248104348,0.7694042651626345,0.0
