n_clusters,n_neighbors,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
2,10,0.4327768838899817,1267.9984109211975,0.8149234616897205,0.0
2,30,0.4230161243671522,1287.6803283325455,0.8431337504503189,0.0
2,50,0.4176600036154674,1298.5143463928173,0.8639248770516729,0.0
2,100,0.4202203048219383,1291.8875603375673,0.8526165297166348,0.0
3,10,0.4636484630150924,1549.2026380507564,0.7292188207189589,0.0
3,30,0.43053853058969144,1255.3490612813803,0.7423157040450671,0.0
3,50,0.42986737386160245,1244.4908022393204,0.7387622282622203,0.0
3,100,0.4738103779370225,1648.9684617600628,0.74524321191311,0.0
4,10,0.4326561792504186,1442.054622370614,0.8015316101388552,0.0
4,30,0.4553078478024538,1524.2915955439337,0.7641767588878563,0.0
4,50,0.4565623442394154,1530.4635379457222,0.7754251232455317,0.0
4,100,0.4497177729850059,1523.852433969132,0.7960755005314692,0.0
5,10,0.3860760148808972,1214.440784280314,0.7878762383116165,0.0
5,30,0.42135972394944027,1443.9755023431812,0.7732932700599768,0.0
5,50,0.4298903636464823,1463.4242876436242,0.7661569635834267,0.0
5,100,0.38429571150422803,1383.9091494775023,0.9120415032569428,0.0
6,10,0.4022417873208564,1320.1483666255635,0.7532271678128346,0.0
6,30,0.33188314180736234,1041.8078897047596,0.7997632433638256,0.0
6,50,0.40170583642118335,1352.4317534268846,0.8725185294412211,0.0
6,100,0.39368157226114237,1321.6075161510269,0.8685905495648679,0.0
8,10,0.3703235646442859,1356.230716726222,0.7704505358087563,0.0
8,30,0.4002045096170305,1398.9549370768957,0.7346297318444763,0.0
8,50,0.3937522200999961,1414.4660315535389,0.7415852203997781,0.0
8,100,0.37150893602524776,1442.0956621241837,0.8580094698723515,0.0
10,10,0.3679542826060581,1378.0648464630935,0.7020332655694748,0.0
10,30,0.3813993588703916,1471.4187685087836,0.727783925270771,0.0
10,50,0.39899208987490103,1580.2809911438112,0.7554657888184468,0.0
10,100,0.3847174142445965,1567.7569639654637,0.788352615945951,0.0
11,10,0.359045309138871,1326.6100722852298,0.7770443580426111,0.0
11,30,0.3877817040972075,1499.2873117703723,0.7394541740306597,0.0
11,50,0.4050905422499221,1641.7019678582876,0.7278968929919387,0.0
11,100,0.388587203517166,1608.268390605304,0.7899863477044117,0.0
12,10,0.3580867254567208,1379.9229391987496,0.7801759271938106,0.0
12,30,0.386633608861155,1525.1048128302334,0.7496075331171412,0.0
12,50,0.3971718792827001,1616.8972569358957,0.7539428662599756,0.0
12,100,0.39206118712277516,1635.917033078867,0.779187971303728,0.0
13,10,0.3588284826870551,1386.1863007972238,0.7481629859981846,0.0
13,30,0.4000702746604612,1616.3130236613665,0.7336468305510725,0.0
13,50,0.4051185538831234,1653.6695158959992,0.7343449877879019,0.0
13,100,0.401820367911045,1660.6603621845238,0.7360880260273852,0.0
14,10,0.3638974028949162,1404.6698333502695,0.7631972668627179,0.0
14,30,0.39157973444861377,1590.4522079814926,0.726905696872592,0.0
14,50,0.39691652264129457,1642.5803570458386,0.7258901902638303,0.0
14,100,0.3940794539632035,1650.9684594953253,0.7390057401604552,0.0
15,10,0.3658422471334586,1376.627993763993,0.7810526708708102,0.0
15,30,0.3839108810877108,1529.1360481284223,0.748644435269841,0.0
15,50,0.39367552593433,1683.926315220591,0.7603826362937589,0.0
15,100,0.38628801527520473,1625.7529036066458,0.7597186059150103,0.0
