perplexity,metric,trustworthiness
5,euclidean,0.7478944564738346
5,jaccard,0.947168145323548
5,dice,0.9467999310173032
15,euclidean,0.7551023051717861
15,jaccard,0.9524465479908789
15,dice,0.9538858336367294
30,euclidean,0.7559243489757985
30,jaccard,0.947604345909901
30,dice,0.9523058999367658
50,euclidean,0.7597344166171652
50,jaccard,0.9401125950907314
50,dice,0.9495510376147316
75,euclidean,0.7539112039396785
75,jaccard,0.9426708567267711
75,dice,0.9496745166420756
