n_clusters,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
2,0.4050043523311615,1229.3665754031488,0.9040881378127668,0.0
3,0.3764877915382385,1053.5135963604714,0.8801719387754393,0.0
4,0.4458497166633606,1229.6396859471708,0.7056041081491119,0.0
5,0.4578244984149933,1334.4580880002875,0.6759047988492146,0.0
6,0.4464748799800873,1378.2433287739632,0.714466293288441,0.0
8,0.43954765796661377,1375.4325139329833,0.6922854004450518,0.0
10,0.38217321038246155,1426.2314282220048,0.7702763150475155,0.0
11,0.37528327107429504,1464.305896937552,0.7467897189176081,0.0
12,0.3833772540092468,1500.2691509994186,0.7754708722984871,0.0
13,0.39959773421287537,1552.4341663984146,0.7424314075518215,0.0
14,0.38523438572883606,1559.903239295431,0.7464597131693754,0.0
15,0.4005465507507324,1654.5898682145398,0.7359389938137445,0.0
