value,name,hemisphere,source
129,L_Area_STSd_posterior,L,glasser_mmp
130,L_Area_STSv_posterior,L,glasser_mmp
131,L_Area_TG_dorsal,L,glasser_mmp
132,L_Area_TE1_anterior,L,glasser_mmp
133,L_Area_TE1_posterior,L,glasser_mmp
134,L_Area_TE2_anterior,L,glasser_mmp
135,L_Area_TF,L,glasser_mmp
136,L_Area_TE2_posterior,L,glasser_mmp
137,L_Area_PHT,L,glasser_mmp
138,L_Area_PH,L,glasser_mmp
139,L_Area_TemporoParietoOccipital_Junction_1,L,glasser_mmp
140,L_Area_TemporoParietoOccipital_Junction_2,L,glasser_mmp
141,L_Area_TemporoParietoOccipital_Junction_3,L,glasser_mmp
142,L_Dorsal_Transitional_Visual_Area,L,glasser_mmp
143,L_Area_PGp,L,glasser_mmp
144,L_Area_IntraParietal_2,L,glasser_mmp
145,L_Area_IntraParietal_1,L,glasser_mmp
146,L_Area_IntraParietal_0,L,glasser_mmp
147,L_Area_PF_opercular,L,glasser_mmp
148,L_Area_PF_Complex,L,glasser_mmp
149,L_Area_PFm_Complex,L,glasser_mmp
150,L_Area_PGi,L,glasser_mmp
151,L_Area_PGs,L,glasser_mmp
152,L_Area_V6A,L,glasser_mmp
153,L_VentroMedial_Visual_Area_1,L,glasser_mmp
154,L_VentroMedial_Visual_Area_3,L,glasser_mmp
155,L_ParaHippocampal_Area_2,L,glasser_mmp
156,L_Area_V4t,L,glasser_mmp
157,L_Area_FST,L,glasser_mmp
158,L_Area_V3CD,L,glasser_mmp
159,L_Area_Lateral_Occipital_3,L,glasser_mmp
160,L_VentroMedial_Visual_Area_2,L,glasser_mmp
161,L_Area_31pd,L,glasser_mmp
162,L_Area_31a,L,glasser_mmp
163,L_Ventral_Visual_Complex,L,glasser_mmp
164,L_Area_25,L,glasser_mmp
165,L_Area_s32,L,glasser_mmp
166,L_posterior_OFC_Complex,L,glasser_mmp
167,L_Area_Posterior_Insular_1,L,glasser_mmp
168,L_Insular_Granular_Complex,L,glasser_mmp
169,L_Area_Frontal_Opercular,L,glasser_mmp
170,L_Area_posterior_10p,L,glasser_mmp
171,L_Area_posterior_47r,L,glasser_mmp
172,L_Area_TG_Ventral,L,glasser_mmp
173,L_Medial_Belt_Complex,L,glasser_mmp
174,L_Lateral_Belt_Complex,L,glasser_mmp
175,L_Auditory_4_Complex,L,glasser_mmp
176,L_Area_STSv_anterior,L,glasser_mmp
177,L_Area_TE1_Middle,L,glasser_mmp
178,L_Para-Insular_Area,L,glasser_mmp
179,L_Area_anterior_32_prime,L,glasser_mmp
180,L_Area_posterior_24,L,glasser_mmp
181,L_Thalamus,L,harvard_oxford_subcortical
182,L_Caudate,L,harvard_oxford_subcortical
183,L_Putamen,L,harvard_oxford_subcortical
184,L_Pallidum,L,harvard_oxford_subcortical
185,L_Hippocampus,L,harvard_oxford_subcortical
186,L_Amygdala,L,harvard_oxford_subcortical
1001,R_Primary_Visual_Cortex,R,glasser_mmp
1002,R_Medial_Superior_Temporal_Area,R,glasser_mmp
1003,R_Sixth_Visual_Area,R,glasser_mmp
1004,R_Second_Visual_Area,R,glasser_mmp
1005,R_Third_Visual_Area,R,glasser_mmp
1006,R_Fourth_Visual_Area,R,glasser_mmp
1007,R_Eighth_Visual_Area,R,glasser_mmp
1008,R_Primary_Motor_Cortex,R,glasser_mmp
1009,R_Primary_Sensory_Cortex,R,glasser_mmp
1010,R_Frontal_Eye_Fields,R,glasser_mmp
1011,R_Premotor_Eye_Fields,R,glasser_mmp
1012,R_Area_55b,R,glasser_mmp
1013,R_Area_V3A,R,glasser_mmp
1014,R_RetroSplenial_Complex,R,glasser_mmp
1015,R_Parieto-Occipital_Sulcus_Area_2,R,glasser_mmp
1016,R_Seventh_Visual_Area,R,glasser_mmp
1017,R_IntraParietal_Sulcus_Area_1,R,glasser_mmp
1018,R_Fusiform_Face_Complex,R,glasser_mmp
1019,R_Area_V3B,R,glasser_mmp
1020,R_Area_Lateral_Occipital_1,R,glasser_mmp
1021,R_Area_Lateral_Occipital_2,R,glasser_mmp
1022,R_Posterior_InferoTemporal,R,glasser_mmp
1023,R_Middle_Temporal_Area,R,glasser_mmp
1024,R_Primary_Auditory_Cortex,R,glasser_mmp
1025,R_PeriSylvian_Language_Area,R,glasser_mmp
1026,R_Superior_Frontal_Language_Area,R,glasser_mmp
1027,R_PreCuneus_Visual_Area,R,glasser_mmp
1028,R_Superior_Temporal_Visual_Area,R,glasser_mmp
1029,R_Medial_Area_7P,R,glasser_mmp
1030,R_Area_7m,R,glasser_mmp
1031,R_Parieto-Occipital_Sulcus_Area_1,R,glasser_mmp
1032,R_Area_23d,R,glasser_mmp
1033,R_Area_ventral_23_a+b,R,glasser_mmp
1034,R_Area_dorsal_23_a+b,R,glasser_mmp
1035,R_Area_31p_ventral,R,glasser_mmp
1036,R_Area_5m,R,glasser_mmp
1037,R_Area_5m_ventral,R,glasser_mmp
1038,R_Area_23c,R,glasser_mmp
1039,R_Area_5L,R,glasser_mmp
1040,R_Dorsal_Area_24d,R,glasser_mmp
1041,R_Ventral_Area_24d,R,glasser_mmp
1042,R_Lateral_Area_7A,R,glasser_mmp
1043,R_Supplementary_And_Cingulate_Eye,R,glasser_mmp
1044,R_Area_6m_anterior,R,glasser_mmp
1045,R_Medial_Area_7A,R,glasser_mmp
1046,R_Lateral_Area_7P,R,glasser_mmp
1047,R_Area_7PC,R,glasser_mmp
1048,R_Area_Lateral_IntraParietal_ventral,R,glasser_mmp
1049,R_Ventral_IntraParietal_Complex,R,glasser_mmp
1050,R_Medial_IntraParietal_Area,R,glasser_mmp
1051,R_Area_1,R,glasser_mmp
1052,R_Area_2,R,glasser_mmp
1053,R_Area_3a,R,glasser_mmp
1054,R_Dorsal_area_6,R,glasser_mmp
1055,R_Area_6mp,R,glasser_mmp
1056,R_Ventral_Area_6,R,glasser_mmp
1057,R_Area_Posterior_24_prime,R,glasser_mmp
1058,R_Area_33_prime,R,glasser_mmp
1059,R_Anterior_24_prime,R,glasser_mmp
1060,R_Area_p32_prime,R,glasser_mmp
1061,R_Area_a24,R,glasser_mmp
1062,R_Area_dorsal_32,R,glasser_mmp
1063,R_Area_8BM,R,glasser_mmp
1064,R_Area_p32,R,glasser_mmp
1065,R_Area_10r,R,glasser_mmp
1066,R_Area_47m,R,glasser_mmp
1067,R_Area_8Av,R,glasser_mmp
1068,R_Area_8Ad,R,glasser_mmp
1069,R_Area_9_Middle,R,glasser_mmp
1070,R_Area_8B_Lateral,R,glasser_mmp
1071,R_Area_9_Posterior,R,glasser_mmp
1072,R_Area_10d,R,glasser_mmp
1073,R_Area_8C,R,glasser_mmp
1074,R_Area_44,R,glasser_mmp
1075,R_Area_45,R,glasser_mmp
1076,R_Area_47l_(47_lateral),R,glasser_mmp
1077,R_Area_anterior_47r,R,glasser_mmp
1078,R_Rostral_Area_6,R,glasser_mmp
1079,R_Area_IFJa,R,glasser_mmp
1080,R_Area_IFJp,R,glasser_mmp
1081,R_Area_IFSp,R,glasser_mmp
1082,R_Area__IFSa,R,glasser_mmp
1083,R_Area_posterior_9-46v,R,glasser_mmp
1084,R_Area_46,R,glasser_mmp
1085,R_Area_anterior_9-46v,R,glasser_mmp
1086,R_Area_9-46d,R,glasser_mmp
1087,R_Area_9_anterior,R,glasser_mmp
1088,R_Area_10v,R,glasser_mmp
1089,R_Area_anterior_10p,R,glasser_mmp
1090,R_Polar_10p,R,glasser_mmp
1091,R_Area_11l,R,glasser_mmp
1092,R_Area_13l,R,glasser_mmp
1093,R_Orbital_Frontal_Complex,R,glasser_mmp
1094,R_Area_47s,R,glasser_mmp
1095,R_Area_Lateral_IntraParietal_dorsal,R,glasser_mmp
1096,R_Area_6_anterior,R,glasser_mmp
1097,R_Inferior_6-8_Transitional_Area,R,glasser_mmp
1098,R_Superior_6-8_Transitional_Area,R,glasser_mmp
1099,R_Area_43,R,glasser_mmp
1100,"""R_Area_OP4/PV""",R,glasser_mmp
1101,"""R_Area_OP1/SII""",R,glasser_mmp
1102,"""R_Area_OP2-3/VS""",R,glasser_mmp
1103,R_Area_52,R,glasser_mmp
1104,R_RetroInsular_Cortex,R,glasser_mmp
1105,R_Area_PFcm,R,glasser_mmp
1106,R_Posterior_Insular_Area_2,R,glasser_mmp
1107,R_Area_TA2,R,glasser_mmp
1108,R_Frontal_Opercular_Area_4,R,glasser_mmp
1109,R_Middle_Insular_Area,R,glasser_mmp
1110,R_Piriform_Cortex,R,glasser_mmp
1111,R_Anterior_Ventral_Insular_Area,R,glasser_mmp
1112,R_Anterior_Agranular_Insula_Complex,R,glasser_mmp
1113,R_Frontal_Opercular_Area_1,R,glasser_mmp
1114,R_Frontal_Opercular_Area_3,R,glasser_mmp
1115,R_Frontal_Opercular_Area_2,R,glasser_mmp
1116,R_Area_PFt,R,glasser_mmp
1117,R_Anterior_IntraParietal_Area,R,glasser_mmp
1118,R_Entorhinal_Cortex,R,glasser_mmp
1119,R_PreSubiculum,R,glasser_mmp
1120,R_Hippocampus,R,glasser_mmp
1121,R_ProStriate_Area,R,glasser_mmp
1122,R_Perirhinal_Ectorhinal_Cortex,R,glasser_mmp
1123,R_Area_STGa,R,glasser_mmp
1124,R_ParaBelt_Complex,R,glasser_mmp
1125,R_Auditory_5_Complex,R,glasser_mmp
1126,R_ParaHippocampal_Area_1,R,glasser_mmp
1127,R_ParaHippocampal_Area_3,R,glasser_mmp
1128,R_Area_STSd_anterior,R,glasser_mmp
1129,R_Area_STSd_posterior,R,glasser_mmp
1130,R_Area_STSv_posterior,R,glasser_mmp
1131,R_Area_TG_dorsal,R,glasser_mmp
1132,R_Area_TE1_anterior,R,glasser_mmp
1133,R_Area_TE1_posterior,R,glasser_mmp
1134,R_Area_TE2_anterior,R,glasser_mmp
1135,R_Area_TF,R,glasser_mmp
1136,R_Area_TE2_posterior,R,glasser_mmp
1137,R_Area_PHT,R,glasser_mmp
1138,R_Area_PH,R,glasser_mmp
1139,R_Area_TemporoParietoOccipital_Junction_1,R,glasser_mmp
1140,R_Area_TemporoParietoOccipital_Junction_2,R,glasser_mmp
1141,R_Area_TemporoParietoOccipital_Junction_3,R,glasser_mmp
1142,R_Dorsal_Transitional_Visual_Area,R,glasser_mmp
1143,R_Area_PGp,R,glasser_mmp
1144,R_Area_IntraParietal_2,R,glasser_mmp
1145,R_Area_IntraParietal_1,R,glasser_mmp
1146,R_Area_IntraParietal_0,R,glasser_mmp
1147,R_Area_PF_opercular,R,glasser_mmp
1148,R_Area_PF_Complex,R,glasser_mmp
1149,R_Area_PFm_Complex,R,glasser_mmp
1150,R_Area_PGi,R,glasser_mmp
1151,R_Area_PGs,R,glasser_mmp
1152,R_Area_V6A,R,glasser_mmp
1153,R_VentroMedial_Visual_Area_1,R,glasser_mmp
1154,R_VentroMedial_Visual_Area_3,R,glasser_mmp
1155,R_ParaHippocampal_Area_2,R,glasser_mmp
1156,R_Area_V4t,R,glasser_mmp
1157,R_Area_FST,R,glasser_mmp
