n_clusters,linkage,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
2,ward,0.43541557890712734,1217.2609181247956,0.877116106687734,0.0
2,complete,0.4418004717854274,865.2105355187799,0.7385068564105454,0.0
2,average,0.4516352743994831,966.5343486841841,0.7479279016602995,0.0
2,single,0.2720954464076659,6.933906818046498,0.47745374148540054,0.0
3,ward,0.3813661587130526,1287.575692484129,0.88943229523985,0.0
3,complete,0.39060856509578123,1342.2118510445264,0.8454256449036593,0.0
3,average,0.4664835490672248,1590.7995040541189,0.7492147718518681,0.0
3,single,-0.09343985679082888,4.347624605817041,0.5931575602480752,0.0
4,ward,0.4153138017175049,1447.6236684011449,0.8439760085834996,0.0
4,complete,0.33026448115489104,1052.0003816596675,1.1926999708553074,0.0
4,average,0.4404652791303529,1289.6852619194651,0.6962607507633511,0.0
4,single,-0.3390892453197297,3.350507260567289,0.8124584153935984,0.0
5,ward,0.40553958858840167,1343.7653316021913,0.8394898749414587,0.0
5,complete,0.3156152269703915,957.5148259070338,1.0506964130252554,0.0
5,average,0.4176308837826519,1468.3438385772542,0.8012341195690006,0.0
5,single,-0.4857984306903547,2.6009082910020638,1.0152262731681865,0.0
6,ward,0.37210104423362184,1310.6256568986817,0.8707911042417612,0.0
6,complete,0.2585460354819442,912.487386301438,1.1251498197374572,0.0
6,average,0.42093716410152265,1336.559304552425,0.7504860775813867,0.0
6,single,-0.505108920888027,2.384089103608069,0.9626660060483067,0.0
8,ward,0.33171333243540707,1285.8109146525244,0.8939655960606345,0.0
8,complete,0.31923995445781433,1176.519933679056,0.898273073217711,0.0
8,average,0.34533050848112484,1221.0454936237745,0.795729694504699,0.0
8,single,-0.5118520557506896,2.8184797256610232,0.8347062663346876,0.0
10,ward,0.3584474939262275,1407.870481683159,0.8248575029842501,0.0
10,complete,0.3411169663634602,1336.9814515789296,0.840195464022678,0.0
10,average,0.39179827452178595,1382.34248901315,0.7648327399785831,0.0
10,single,-0.5504814898268475,2.3384469784531974,0.9936629514451122,0.0
