n_clusters,silhouette,calinski_harabasz,davies_bouldin,noise_fraction,inertia
2,0.4107052683830261,1081.41068808956,0.9478144137261418,0.0,247990.3125
3,0.3893427848815918,1070.7823099620437,0.9130580205785842,0.0,167974.546875
4,0.3674998879432678,964.4291748270925,0.9248229485366503,0.0,136636.015625
5,0.40973398089408875,1154.4133057733616,0.8308372171007594,0.0,95689.5625
6,0.3879301846027374,1123.418581251454,0.8902592536785842,0.0,81497.9765625
8,0.38590943813323975,1124.508025887028,0.8288433999920852,0.0,61025.52734375
10,0.36486732959747314,1140.09386003855,0.8568697844699947,0.0,48157.0078125
