n_clusters,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
2,0.45551106333732605,907.5949077908058,0.7381913030029302,0.0
3,0.4251258373260498,1097.7389840357885,0.7189275631736707,0.0
4,0.41875317692756653,1215.9227904520606,0.7542252809776632,0.0
5,0.48503586649894714,1422.9235127047782,0.7433272214268659,0.0
6,0.4826253652572632,1464.9867880361244,0.7510605968655749,0.0
8,0.45282384753227234,1578.2045072822825,0.7565866345761851,0.0
10,0.4525267481803894,1658.7495089531878,0.7450977196405014,0.0
