eps,min_samples,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
0.3,3,0.266445130109787,2572.6876112277528,0.5344754764559474,0.0052173913043478265
0.3,5,0.2676267623901367,2551.6101801943346,0.5264502782361651,0.008695652173913044
0.3,10,0.40345513820648193,5776.9241235351565,0.6688024240054232,0.018260869565217393
0.5,3,0.26901260018348694,3545.5509412136967,0.6516331779488567,0.0
0.5,5,0.26901260018348694,3545.5509412136967,0.6516331779488567,0.0
0.5,10,0.38404545187950134,3491.1789679407125,0.5367984358231173,0.0
0.7,3,0.6769854426383972,6479.05868935338,0.3341654702246184,0.0
0.7,5,0.6769854426383972,6479.05868935338,0.3341654702246184,0.0
0.7,10,0.6769854426383972,6479.05868935338,0.3341654702246184,0.0
1.0,3,0.6769854426383972,6479.05868935338,0.3341654702246184,0.0
1.0,5,0.6769854426383972,6479.05868935338,0.3341654702246184,0.0
1.0,10,0.6769854426383972,6479.05868935338,0.3341654702246184,0.0
1.5,3,0.6769854426383972,6479.05868935338,0.3341654702246184,0.0
1.5,5,0.6769854426383972,6479.05868935338,0.3341654702246184,0.0
1.5,10,0.6769854426383972,6479.05868935338,0.3341654702246184,0.0
2.0,3,0.6769854426383972,6479.05868935338,0.3341654702246184,0.0
2.0,5,0.6769854426383972,6479.05868935338,0.3341654702246184,0.0
2.0,10,0.6769854426383972,6479.05868935338,0.3341654702246184,0.0
