n_clusters,silhouette,calinski_harabasz,davies_bouldin,noise_fraction,inertia
2,0.6060987114906311,2789.341568322678,0.5786458789646712,0.0,456993.9375
3,0.5137830376625061,2387.9092040240344,0.7665442212787225,0.0,303560.75
4,0.48648980259895325,2178.1644862388707,0.7693826126322943,0.0,233866.03125
5,0.4457911252975464,2390.3777392685283,0.8256226692718304,0.0,167621.28125
6,0.44559335708618164,2419.9220047256076,0.798246543286368,0.0,135391.453125
8,0.3884318768978119,2198.3759310693627,0.898515423164667,0.0,108280.015625
10,0.3992098867893219,2266.5218839708214,0.8337080496612908,0.0,82957.765625
