index	label
1	7Networks_LH_Default_FPole
2	7Networks_LH_Default_IPL_1
3	7Networks_LH_Default_IPL_2
4	7Networks_LH_Default_PCC
5	7Networks_LH_Default_PFCd_1
6	7Networks_LH_Default_PFCd_2
7	7Networks_LH_Default_PFCd_3
8	7Networks_LH_Default_PFCm
9	7Networks_LH_Default_PFCv_1
10	7Networks_LH_Default_PFCv_2
11	7Networks_LH_Default_RSC
12	7Networks_LH_Default_Temp_1
13	7Networks_LH_Default_Temp_2
14	7Networks_LH_Default_Temp_3
15	7Networks_LH_Cont_IPS
16	7Networks_LH_Cont_PCC
17	7Networks_LH_Cont_PFCl
18	7Networks_LH_Cont_PrCv
19	7Networks_LH_Cont_pCun
20	7Networks_LH_Limbic_OFC
21	7Networks_LH_Limbic_PHC
22	7Networks_LH_Limbic_Temp
23	7Networks_LH_Limbic_TempPole
24	7Networks_LH_SalVentAttn_FrMed
25	7Networks_LH_SalVentAttn_Ins_1
26	7Networks_LH_SalVentAttn_Ins_2
27	7Networks_LH_SalVentAttn_PostC
28	7Networks_LH_SalVentAttn_SPL
29	7Networks_LH_DorsAttn_IPS
30	7Networks_LH_DorsAttn_PostC
31	7Networks_LH_DorsAttn_PrC
32	7Networks_LH_DorsAttn_PrCd
33	7Networks_LH_DorsAttn_SPL_1
34	7Networks_LH_DorsAttn_SPL_2
35	7Networks_LH_DorsAttn_TempOcc
36	7Networks_LH_SomMot_1
37	7Networks_LH_SomMot_2
38	7Networks_LH_SomMot_3
39	7Networks_LH_SomMot_4
40	7Networks_LH_SomMot_5
41	7Networks_LH_SomMot_6
42	7Networks_LH_SomMot_Ins
43	7Networks_LH_SomMot_ParOper
44	7Networks_LH_Vis_1
45	7Networks_LH_Vis_2
46	7Networks_LH_Vis_3
47	7Networks_LH_Vis_4
48	7Networks_LH_Vis_5
49	7Networks_LH_Vis_6
50	7Networks_LH_Vis_7
51	7Networks_RH_Cont_FPole
52	7Networks_RH_Default_IPL_1
53	7Networks_RH_Default_IPL_2
54	7Networks_RH_Default_PCC
55	7Networks_RH_Default_PFCd_1
56	7Networks_RH_SalVentAttn_PFCd
57	7Networks_RH_Cont_PFCd
58	7Networks_RH_Default_PFCm
59	7Networks_RH_Default_PFCv_1
60	7Networks_RH_Cont_PFCv
61	7Networks_RH_Default_RSC
62	7Networks_RH_Default_Temp_1
63	7Networks_RH_Default_Temp_2
64	7Networks_RH_SomMot_Temp
65	7Networks_RH_Cont_IPS
66	7Networks_RH_Cont_PCC
67	7Networks_RH_Cont_PFCl
68	7Networks_RH_Cont_PrCv
69	7Networks_RH_Cont_pCun
70	7Networks_RH_Limbic_OFC
71	7Networks_RH_Vis_PHC
72	7Networks_RH_Limbic_Temp
73	7Networks_RH_Limbic_TempPole
74	7Networks_RH_SalVentAttn_FrMed
75	7Networks_RH_SalVentAttn_Ins_1
76	7Networks_RH_SalVentAttn_Ins_2
77	7Networks_RH_SalVentAttn_PostC
78	7Networks_RH_SalVentAttn_SPL
79	7Networks_RH_DorsAttn_IPS
80	7Networks_RH_SomMot_PostC
81	7Networks_RH_DorsAttn_PrC
82	7Networks_RH_DorsAttn_PrCd
83	7Networks_RH_DorsAttn_SPL_1
84	7Networks_RH_DorsAttn_SPL_2
85	7Networks_RH_DorsAttn_TempOcc
86	7Networks_RH_SomMot_1
87	7Networks_RH_SomMot_2
88	7Networks_RH_SomMot_3
89	7Networks_RH_SomMot_4
90	7Networks_RH_SomMot_5
91	7Networks_RH_SomMot_6
92	7Networks_RH_SomMot_Ins
93	7Networks_RH_SalVentAttn_ParOper
94	7Networks_RH_Vis_1
95	7Networks_RH_Vis_2
96	7Networks_RH_Vis_3
97	7Networks_RH_Vis_4
98	7Networks_RH_Vis_5
99	7Networks_RH_Vis_6
100	7Networks_RH_Vis_7
101	Tian_HIP-head-m-rh
102	Tian_HIP-head-l-rh
103	Tian_HIP-body-rh
104	Tian_HIP-tail-rh
105	Tian_THA-VPm-rh
106	Tian_THA-VPl-rh
107	Tian_THA-VAi-rh
108	Tian_THA-VAs-rh
109	Tian_THA-DAm-rh
110	Tian_THA-DAl-rh
111	Tian_PUT-VA-rh
112	Tian_PUT-DA-rh
113	Tian_PUT-VP-rh
114	Tian_PUT-DP-rh
115	Tian_CAU-VA-rh
116	Tian_CAU-DA-rh
117	Tian_CAU-body-rh
118	Tian_CAU-tail-rh
119	Tian_lAMY-rh
120	Tian_mAMY-rh
121	Tian_THA-DP-rh
122	Tian_NAc-shell-rh
123	Tian_NAc-core-rh
124	Tian_pGP-rh
125	Tian_aGP-rh
126	Tian_HIP-head-m-lh
127	Tian_HIP-head-l-lh
128	Tian_HIP-body-lh
129	Tian_HIP-tail-lh
130	Tian_THA-VPm-lh
131	Tian_THA-VPl-lh
132	Tian_THA-VAi-lh
133	Tian_THA-VAs-lh
134	Tian_THA-DAm-lh
