index	label
135	Tian_THA-DAl-lh
136	Tian_PUT-VA-lh
137	Tian_PUT-DA-lh
138	Tian_PUT-VP-lh
139	Tian_PUT-DP-lh
140	Tian_CAU-VA-lh
141	Tian_CAU-DA-lh
142	Tian_CAU-body-lh
143	Tian_CAU-tail-lh
144	Tian_lAMY-lh
145	Tian_mAMY-lh
146	Tian_THA-DP-lh
147	Tian_NAc-shell-lh
148	Tian_NAc-core-lh
149	Tian_pGP-lh
150	Tian_aGP-lh
151	Buckner_7Networks_Vis
152	Buckner_7Networks_SomMot
153	Buckner_7Networks_DorsAttn
154	Buckner_7Networks_SalVentAttn
155	Buckner_7Networks_Limbic
156	Buckner_7Networks_Cont
157	Buckner_7Networks_Default
