session,id,timestamp,params,output,notes
s1.1,p30,23-07-26 18:30,"{""n_components"": 2, ""perplexity"": 30, ""early_exaggeration"": 12, ""learning_rate"": 200, ""max_iter"": 1000, ""random_state"": 0}",results/lesion/dim_reduction/tsne/23-07_s1.1_p30,"t-SNE production run on voxel-wise lesion matrix (21-07_s1.1), params per Thiebaut de Schotten 2020 (perplexity swept manually: 30/40/60/80, early_exaggeration=12, learning_rate=200)"
s1.1,p40,23-07-26 18:31,"{""n_components"": 2, ""perplexity"": 40, ""early_exaggeration"": 12, ""learning_rate"": 200, ""max_iter"": 1000, ""random_state"": 0}",results/lesion/dim_reduction/tsne/23-07_s1.1_p40,"t-SNE production run on voxel-wise lesion matrix (21-07_s1.1), params per Thiebaut de Schotten 2020 (perplexity swept manually: 30/40/60/80, early_exaggeration=12, learning_rate=200)"
s1.1,p60,23-07-26 18:33,"{""n_components"": 2, ""perplexity"": 60, ""early_exaggeration"": 12, ""learning_rate"": 200, ""max_iter"": 1000, ""random_state"": 0}",results/lesion/dim_reduction/tsne/23-07_s1.1_p60,"t-SNE production run on voxel-wise lesion matrix (21-07_s1.1), params per Thiebaut de Schotten 2020 (perplexity swept manually: 30/40/60/80, early_exaggeration=12, learning_rate=200)"
s1.1,p80,23-07-26 18:34,"{""n_components"": 2, ""perplexity"": 80, ""early_exaggeration"": 12, ""learning_rate"": 200, ""max_iter"": 1000, ""random_state"": 0}",results/lesion/dim_reduction/tsne/23-07_s1.1_p80,"t-SNE production run on voxel-wise lesion matrix (21-07_s1.1), params per Thiebaut de Schotten 2020 (perplexity swept manually: 30/40/60/80, early_exaggeration=12, learning_rate=200)"
