n_clusters,linkage,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
2,ward,0.43421924114227295,1171.9109134188586,0.8143660541614679,0.0
2,complete,0.42465493083000183,1160.1117862551584,0.8420769201113999,0.0
2,average,0.44170254468917847,1115.655013335617,0.7858219098530145,0.0
2,single,0.2553545832633972,199.07265703751193,0.710641311292068,0.0
3,ward,0.41740936040878296,1339.7706697300966,0.8830835636819221,0.0
3,complete,0.2794606685638428,959.3046293198867,0.988363490865814,0.0
3,average,0.44258493185043335,1372.4418814884602,0.8354157806396295,0.0
3,single,-0.18763424456119537,99.71467941147975,1.1203987223710532,0.0
4,ward,0.38863372802734375,1181.5457408310954,0.8129428612303045,0.0
4,complete,0.3569578528404236,1138.148813030421,0.839807227661131,0.0
4,average,0.4330662488937378,1159.505951059195,0.7091243629836121,0.0
4,single,-0.2996206283569336,66.87117805611247,1.0478781397109809,0.0
5,ward,0.423464834690094,1214.2401686588105,0.7708429791471595,0.0
5,complete,0.32157236337661743,1049.419875891648,1.0502141996238623,0.0
5,average,0.43711063265800476,1151.8495513982505,0.6761402427368648,0.0
5,single,-0.29785463213920593,55.18751566105877,0.9893125538948233,0.0
6,ward,0.4217628538608551,1411.1558831207503,0.8441414602304195,0.0
6,complete,0.3463936746120453,1124.4491782782443,0.9618887670376619,0.0
6,average,0.42222583293914795,1234.3566982638192,0.7145977181122151,0.0
6,single,-0.32262980937957764,46.38463963329411,1.0012622448975412,0.0
8,ward,0.38288766145706177,1309.387453250356,0.8208395576466654,0.0
8,complete,0.4110879898071289,1399.666915874077,0.7893265649194509,0.0
8,average,0.36698904633522034,1164.2337033550361,0.7696750283508387,0.0
8,single,0.09272569417953491,517.1073936511734,0.6941284860892323,0.0
10,ward,0.38971880078315735,1354.7463318148648,0.7841249437661091,0.0
10,complete,0.40204718708992004,1409.444591125321,0.7823962559779394,0.0
10,average,0.37196993827819824,1233.0189807280417,0.7748553483632923,0.0
10,single,-0.04108390957117081,404.00509852979167,1.1074549122529134,0.0
