subject_id,dataset
sub-STUNIPD0187,UNIPD/WashU
sub-STUNIPD0188,UNIPD/WashU
sub-STUNIPD0189,UNIPD/WashU
sub-STUNIPD0191,UNIPD/WashU
sub-STUNIPD0192,UNIPD/WashU
sub-STUNIPD0193,UNIPD/WashU
sub-STUNIPD0194,UNIPD/WashU
sub-STUNIPD0195,UNIPD/WashU
sub-STUNIPD0196,UNIPD/WashU
sub-STUNIPD0197,UNIPD/WashU
sub-STUNIPD0199,UNIPD/WashU
sub-STUNIPD0201,UNIPD/WashU
sub-STUNIPD0202,UNIPD/WashU
sub-STUNIPD0203,UNIPD/WashU
sub-STUNIPD0204,UNIPD/WashU
sub-STUNIPD0205,UNIPD/WashU
sub-STUNIPD0206,UNIPD/WashU
sub-STUNIPD0207,UNIPD/WashU
sub-STUNIPD0208,UNIPD/WashU
sub-STUNIPD0210,UNIPD/WashU
sub-STUNIPD0211,UNIPD/WashU
sub-STUNIPD0212,UNIPD/WashU
sub-STUNIPD0213,UNIPD/WashU
sub-STUNIPD0215,UNIPD/WashU
sub-STUNIPD0216,UNIPD/WashU
sub-STUNIPD0217,UNIPD/WashU
sub-STUNIPD0218,UNIPD/WashU
sub-STUNIPD0219,UNIPD/WashU
sub-STUNIPD0220,UNIPD/WashU
sub-STUNIPD0221,UNIPD/WashU
sub-STUNIPD0222,UNIPD/WashU
sub-STUNIPD0223,UNIPD/WashU
sub-STUNIPD0224,UNIPD/WashU
sub-STUNIPD0225,UNIPD/WashU
sub-STUNIPD0226,UNIPD/WashU
sub-STUNIPD0227,UNIPD/WashU
sub-STUNIPD0228,UNIPD/WashU
sub-STUNIPD0229,UNIPD/WashU
sub-STUNIPD0231,UNIPD/WashU
sub-STUNIPD0232,UNIPD/WashU
sub-STUNIPD0233,UNIPD/WashU
sub-STUNIPD0234,UNIPD/WashU
sub-STUNIPD0235,UNIPD/WashU
sub-STUNIPD0236,UNIPD/WashU
sub-STUNIPD0237,UNIPD/WashU
sub-STUNIPD0238,UNIPD/WashU
sub-STUNIPD0239,UNIPD/WashU
sub-STUNIPD0240,UNIPD/WashU
sub-STUNIPD0241,UNIPD/WashU
sub-STUNIPD0242,UNIPD/WashU
sub-STUNIPD0245,UNIPD/WashU
sub-STUNIPD0246,UNIPD/WashU
sub-STUNIPD0247,UNIPD/WashU
sub-STUNIPD0248,UNIPD/WashU
sub-STUNIPD0249,UNIPD/WashU
sub-STUNIPD0250,UNIPD/WashU
sub-STUNIPD0251,UNIPD/WashU
sub-STUNIPD0489,UNIPD/PASPORT
sub-STUNIPD0490,UNIPD/PASPORT
sub-STUNIPD0491,UNIPD/PASPORT
sub-STUNIPD0492,UNIPD/PASPORT
sub-STUNIPD0493,UNIPD/PASPORT
sub-STUNIPD0494,UNIPD/PASPORT
sub-STUNIPD0495,UNIPD/PASPORT
sub-STUNIPD0496,UNIPD/PASPORT
sub-STUNIPD0497,UNIPD/PASPORT
sub-STUNIPD0498,UNIPD/PASPORT
sub-STUNIPD0499,UNIPD/PASPORT
sub-STUNIPD0500,UNIPD/PASPORT
sub-STUNIPD0501,UNIPD/PASPORT
sub-STUNIPD0502,UNIPD/PASPORT
sub-STUNIPD0503,UNIPD/PASPORT
sub-STUNIPD0504,UNIPD/PASPORT
sub-STUNIPD0505,UNIPD/PASPORT
sub-STUNIPD0506,UNIPD/PASPORT
sub-STUNIPD0507,UNIPD/PASPORT
sub-STUNIPD0508,UNIPD/PASPORT
sub-STUNIPD0509,UNIPD/PASPORT
sub-STUNIPD0510,UNIPD/PASPORT
sub-STUNIPD0511,UNIPD/PASPORT
sub-STUNIPD0512,UNIPD/PASPORT
sub-STUNIPD0513,UNIPD/PASPORT
sub-STUNIPD0514,UNIPD/PASPORT
sub-STUNIPD0515,UNIPD/PASPORT
sub-STUNIPD0516,UNIPD/PASPORT
sub-STUNIPD0517,UNIPD/PASPORT
sub-STUNIPD0518,UNIPD/PASPORT
sub-STUNIPD0519,UNIPD/PASPORT
sub-STUNIPD0520,UNIPD/PASPORT
sub-STUNIPD0521,UNIPD/PASPORT
sub-STUNIPD0522,UNIPD/PASPORT
sub-STUNIPD0523,UNIPD/PASPORT
sub-STUNIPD0524,UNIPD/PASPORT
sub-STUNIPD0525,UNIPD/PASPORT
sub-STUNIPD0526,UNIPD/PASPORT
sub-STUNIPD0527,UNIPD/PASPORT
sub-STUNIPD0528,UNIPD/PASPORT
sub-STUNIPD0529,UNIPD/PASPORT
sub-STUNIPD0530,UNIPD/PASPORT
sub-STUNIPD0531,UNIPD/PASPORT
sub-STUNIPD0532,UNIPD/PASPORT
sub-STUNIPD0533,UNIPD/PASPORT
sub-STUNIPD0534,UNIPD/PASPORT
sub-STUNIPD0535,UNIPD/PASPORT
sub-STUNIPD0536,UNIPD/PASPORT
sub-STUNIPD0537,UNIPD/PASPORT
sub-STUNIPD0538,UNIPD/PASPORT
sub-STUNIPD0539,UNIPD/PASPORT
sub-STUNIPD0540,UNIPD/PASPORT
sub-STUNIPD0541,UNIPD/PASPORT
sub-STUNIPD0542,UNIPD/PASPORT
sub-STUNIPD0543,UNIPD/PASPORT
sub-STUNIPD0547,UNIPD/PASPORT
sub-STUNIPD0548,UNIPD/PASPORT
sub-STUNIPD0551,UNIPD/PASPORT
sub-STUNIPD0552,UNIPD/PASPORT
sub-STUNIPD0553,UNIPD/PASPORT
sub-STUNIPD0556,UNIPD/PASPORT
sub-STUNIPD0557,UNIPD/PASPORT
sub-STUNIPD0558,UNIPD/PASPORT
sub-STUNIPD0559,UNIPD/PASPORT
sub-STUNIPD0560,UNIPD/PASPORT
sub-STUNIPD0561,UNIPD/PASPORT
sub-STUNIPD0562,UNIPD/PASPORT
sub-STUNIPD0563,UNIPD/PASPORT
sub-STUNIPD0564,UNIPD/PASPORT
sub-STUNIPD0565,UNIPD/PASPORT
sub-STUNIPD0567,UNIPD/PASPORT
sub-STUNIPD0568,UNIPD/PASPORT
sub-STUNIPD0571,UNIPD/PASPORT
sub-STUNIPD0573,UNIPD/PASPORT
sub-STUNIPD0574,UNIPD/PASPORT
sub-STUNIPD0575,UNIPD/PASPORT
sub-STUNIPD0576,UNIPD/PASPORT
sub-STUNIPD0577,UNIPD/PASPORT
sub-STUNIPD0578,UNIPD/PASPORT
sub-STUNIPD0580,UNIPD/PASPORT
sub-STUNIPD0583,UNIPD/PASPORT
sub-STUNIPD0584,UNIPD/PASPORT
sub-STUNIPD0585,UNIPD/PASPORT
sub-STUNIPD0252,UNIPD/PSP
sub-STUNIPD0253,UNIPD/PSP
sub-STUNIPD0254,UNIPD/PSP
sub-STUNIPD0255,UNIPD/PSP
sub-STUNIPD0256,UNIPD/PSP
sub-STUNIPD0257,UNIPD/PSP
sub-STUNIPD0258,UNIPD/PSP
sub-STUNIPD0259,UNIPD/PSP
sub-STUNIPD0260,UNIPD/PSP
sub-STUNIPD0261,UNIPD/PSP
sub-STUNIPD0262,UNIPD/PSP
sub-STUNIPD0264,UNIPD/PSP
sub-STUNIPD0265,UNIPD/PSP
sub-STUNIPD0266,UNIPD/PSP
sub-STUNIPD0267,UNIPD/PSP
sub-STUNIPD0268,UNIPD/PSP
sub-STUNIPD0270,UNIPD/PSP
sub-STUNIPD0271,UNIPD/PSP
sub-STUNIPD0272,UNIPD/PSP
sub-STUNIPD0273,UNIPD/PSP
sub-STUNIPD0274,UNIPD/PSP
sub-STUNIPD0275,UNIPD/PSP
sub-STUNIPD0276,UNIPD/PSP
sub-STUNIPD0277,UNIPD/PSP
sub-STUNIPD0278,UNIPD/PSP
sub-STUNIPD0279,UNIPD/PSP
sub-STUNIPD0280,UNIPD/PSP
sub-STUNIPD0281,UNIPD/PSP
sub-STUNIPD0282,UNIPD/PSP
sub-STUNIPD0283,UNIPD/PSP
sub-STUNIPD0284,UNIPD/PSP
sub-STUNIPD0285,UNIPD/PSP
sub-STUNIPD0286,UNIPD/PSP
sub-STUNIPD0287,UNIPD/PSP
sub-STUNIPD0288,UNIPD/PSP
sub-STUNIPD0289,UNIPD/PSP
sub-STUNIPD0290,UNIPD/PSP
sub-STUNIPD0291,UNIPD/PSP
sub-STUNIPD0292,UNIPD/PSP
sub-STUNIPD0293,UNIPD/PSP
sub-STUNIPD0295,UNIPD/PSP
sub-STUNIPD0296,UNIPD/PSP
sub-STUNIPD0297,UNIPD/PSP
sub-STUNIPD0299,UNIPD/PSP
sub-STUNIPD0300,UNIPD/PSP
sub-STUNIPD0303,UNIPD/PSP
sub-STUNIPD0304,UNIPD/PSP
sub-STUNIPD0305,UNIPD/PSP
sub-STUNIPD0306,UNIPD/PSP
sub-STUNIPD0308,UNIPD/PSP
sub-STUNIPD0309,UNIPD/PSP
sub-STUNIPD0310,UNIPD/PSP
sub-STUNIPD0311,UNIPD/PSP
sub-STUNIPD0312,UNIPD/PSP
sub-STUNIPD0313,UNIPD/PSP
