n_components,covariance_type,silhouette,calinski_harabasz,davies_bouldin,noise_fraction,bic,aic
2,full,0.6043279767036438,2743.4410494209696,0.5737809322215723,0.0,20092.279845807,20036.75715637207
2,tied,0.6050352454185486,2755.8542932962623,0.5745662078661982,0.0,20128.360041945663,20087.979904174805
2,diag,0.6032637357711792,2723.1446293580416,0.570404475827901,0.0,20212.70476986038,20167.277114868164
2,spherical,0.6029090881347656,2718.681397292087,0.5702633692316109,0.0,20229.388238835632,20194.055618286133
3,full,0.48936396837234497,2106.2957547544734,0.8381388687656103,0.0,19938.817001442272,19853.0092086792
3,tied,0.5128141641616821,2313.6952880573504,0.7621339144906063,0.0,20031.70331153576,19976.18062210083
3,diag,0.5067774653434753,2252.782454265537,0.7354677655692413,0.0,19985.044101572636,19914.378860473633
3,spherical,0.5148884654045105,2306.3926341424326,0.6900896425433699,0.0,20059.823352429314,20004.300662994385
4,full,0.4863714873790741,2111.0909146092217,0.7950389439060468,0.0,19918.62384854483,19802.530952453613
4,tied,0.45897868275642395,1975.8649851584903,0.7925708700026085,0.0,19949.240402079227,19878.575160980225
4,diag,0.47957587242126465,1948.8791216128382,0.7952672350602311,0.0,19945.52229970945,19849.619472503662
4,spherical,0.4865244925022125,2117.227219305928,0.7659909722420517,0.0,20033.475457447556,19957.762699127197
5,full,0.424531489610672,2168.1676699424384,0.839990990558943,0.0,19763.002648467213,19616.62464904785
5,tied,0.44008150696754456,2302.403680026395,0.8090029324371345,0.0,19875.053382973034,19789.24559020996
5,diag,0.42218801379203796,2165.656823429422,0.8316631556271019,0.0,19770.423296003006,19649.28288269043
5,spherical,0.4403783679008484,2272.8806521176007,0.8100135067309233,0.0,19858.74718755735,19762.844360351562
6,full,0.44239097833633423,2266.26563226897,0.7829563018171845,0.0,19713.888845087593,19537.225742340088
6,tied,0.4483819305896759,2400.612446424108,0.7835598681021939,0.0,19824.649952276268,19723.69960784912
6,diag,0.4409446120262146,2346.0471815996357,0.7896627007930311,0.0,19719.320073241382,19572.94207382202
6,spherical,0.4454594552516937,2360.207974416922,0.7653402856029835,0.0,19801.171131717438,19685.07823562622
8,full,0.3679732084274292,1961.946515499172,0.9062455460528323,0.0,19735.697840348617,19498.464530944824
8,tied,0.40375471115112305,2240.3439018374224,0.8662426804824466,0.0,19775.16545568986,19643.93000793457
8,diag,0.37602731585502625,2000.7932476602375,0.8660414079521151,0.0,19726.797141359497,19529.943969726562
8,spherical,0.3878730535507202,2149.1467436599596,0.8939015453435142,0.0,19839.23156733986,19682.758533477783
10,full,0.37431445717811584,1971.5589461917507,0.8509742237374198,0.0,19710.89161649343,19413.08810043335
10,tied,0.37028756737709045,2186.6620486716956,0.8499723480057126,0.0,19744.73985421454,19583.219303131104
10,diag,0.36942028999328613,1988.402030144054,0.8790637627612815,0.0,19727.06214282722,19479.733798980713
10,spherical,0.38429126143455505,2187.0645599568784,0.8006519748265648,0.0,19767.226828859497,19570.373657226562
