reduction_method,clustering_method,session,id,timestamp,params,output,notes
umap,kmeans,s1.1,d00,24-07-26 12:43,"{""reduction_params"": {""n_neighbors"": 5, ""min_dist"": 0.0, ""n_components"": 2, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""random_state"": 0, ""n_init"": ""auto""}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/umap/kmeans/tuning/24-07_s1.1_d00,"umap (min_dist=0.0, n_neighbors=5, tuning in results/lesion/dim_reduction/umap/tuning/21-07_s1.1) + all 5 clustering methods, voxel-wise matrix"
umap,agglomerative,s1.1,d00,24-07-26 12:43,"{""reduction_params"": {""n_neighbors"": 5, ""min_dist"": 0.0, ""n_components"": 2, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""linkage"": ""ward""}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/umap/agglomerative/tuning/24-07_s1.1_d00,"umap (min_dist=0.0, n_neighbors=5, tuning in results/lesion/dim_reduction/umap/tuning/21-07_s1.1) + all 5 clustering methods, voxel-wise matrix"
umap,gmm,s1.1,d00,24-07-26 12:43,"{""reduction_params"": {""n_neighbors"": 5, ""min_dist"": 0.0, ""n_components"": 2, ""random_state"": 0}, ""clustering_base_params"": {""n_components"": 4, ""random_state"": 0}, ""clustering_tuning_grid"": {""n_components"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/umap/gmm/tuning/24-07_s1.1_d00,"umap (min_dist=0.0, n_neighbors=5, tuning in results/lesion/dim_reduction/umap/tuning/21-07_s1.1) + all 5 clustering methods, voxel-wise matrix"
umap,dbscan,s1.1,d00,24-07-26 12:43,"{""reduction_params"": {""n_neighbors"": 5, ""min_dist"": 0.0, ""n_components"": 2, ""random_state"": 0}, ""clustering_base_params"": {""eps"": 0.5, ""min_samples"": 5}, ""clustering_tuning_grid"": {""eps"": [0.3, 0.5, 0.7, 1.0, 1.5, 2.0]}}",results/lesion/dim_reduction_clustering/umap/dbscan/tuning/24-07_s1.1_d00,"umap (min_dist=0.0, n_neighbors=5, tuning in results/lesion/dim_reduction/umap/tuning/21-07_s1.1) + all 5 clustering methods, voxel-wise matrix"
umap,spectral,s1.1,d00,24-07-26 12:43,"{""reduction_params"": {""n_neighbors"": 5, ""min_dist"": 0.0, ""n_components"": 2, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""affinity"": ""nearest_neighbors"", ""n_neighbors"": 50, ""random_state"": 0}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/umap/spectral/tuning/24-07_s1.1_d00,"umap (min_dist=0.0, n_neighbors=5, tuning in results/lesion/dim_reduction/umap/tuning/21-07_s1.1) + all 5 clustering methods, voxel-wise matrix"
umap,kmeans,s1.1,d00,24-07-26 16:44,"{""reduction_params"": {""n_neighbors"": 5, ""min_dist"": 0.0, ""n_components"": 2, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""random_state"": 0, ""n_init"": ""auto""}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/umap/kmeans/tuning/24-07_s1.1_d00,re-run tuning to regenerate plots with corrected titles (compose_cluster_plot_title fix)
umap,agglomerative,s1.1,d00,24-07-26 16:44,"{""reduction_params"": {""n_neighbors"": 5, ""min_dist"": 0.0, ""n_components"": 2, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""linkage"": ""ward""}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/umap/agglomerative/tuning/24-07_s1.1_d00,re-run tuning to regenerate plots with corrected titles (compose_cluster_plot_title fix)
umap,gmm,s1.1,d00,24-07-26 16:44,"{""reduction_params"": {""n_neighbors"": 5, ""min_dist"": 0.0, ""n_components"": 2, ""random_state"": 0}, ""clustering_base_params"": {""n_components"": 4, ""random_state"": 0}, ""clustering_tuning_grid"": {""n_components"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/umap/gmm/tuning/24-07_s1.1_d00,re-run tuning to regenerate plots with corrected titles (compose_cluster_plot_title fix)
umap,dbscan,s1.1,d00,24-07-26 16:44,"{""reduction_params"": {""n_neighbors"": 5, ""min_dist"": 0.0, ""n_components"": 2, ""random_state"": 0}, ""clustering_base_params"": {""eps"": 0.5, ""min_samples"": 5}, ""clustering_tuning_grid"": {""eps"": [0.3, 0.5, 0.7, 1.0, 1.5, 2.0]}}",results/lesion/dim_reduction_clustering/umap/dbscan/tuning/24-07_s1.1_d00,re-run tuning to regenerate plots with corrected titles (compose_cluster_plot_title fix)
umap,kmeans,s1.1,d00,24-07-26 17:35,"{""reduction_params"": {""n_neighbors"": 5, ""min_dist"": 0.0, ""n_components"": 2, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""random_state"": 0, ""n_init"": ""auto""}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/umap/kmeans/tuning/24-07_s1.1_d00,re-run spectral tuning to regenerate plot with corrected title (compose_cluster_plot_title fix)
