metric,n_components,regress_out_volume,n_neighbors,min_dist,trustworthiness
dice,2,False,5,0.0,0.9421235939985054
dice,2,False,5,0.1,0.9448114664571636
dice,2,False,5,0.25,0.9429313047310632
dice,2,False,15,0.0,0.9453585758905476
dice,2,False,15,0.1,0.9428653879318604
dice,2,False,15,0.25,0.9429147488838217
dice,2,False,30,0.0,0.9407698468967368
dice,2,False,30,0.1,0.939533983559124
dice,2,False,30,0.25,0.9367317531185928
dice,2,False,50,0.0,0.9339179489144808
dice,2,False,50,0.1,0.9342874662272214
dice,2,False,50,0.25,0.9225597179374174
dice,2,False,100,0.0,0.9292232931572996
dice,2,False,100,0.1,0.924448924061548
dice,2,False,100,0.25,0.9147993944852166
