n_clusters,linkage,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
2,ward,0.42281324467241893,1039.3227487770043,0.910279143926588,0.0
2,complete,0.38092955222112895,1006.7730886272593,0.9934574033992342,0.0
2,average,0.42346682276380465,1015.7586577048676,0.9061178808457198,0.0
2,single,0.14316992235966625,5.224160351704378,0.693965990252076,0.0
3,ward,0.37289434403772836,961.5534914041538,0.9705258014953587,0.0
3,complete,0.32591496422011684,755.4682097449996,0.9743419524790466,0.0
3,average,0.3662553749349615,925.4684453010594,0.8757872816557168,0.0
3,single,-0.1796891042026684,4.105993507665095,1.0093602914793525,0.0
4,ward,0.36516846649803486,940.3325461188838,0.9344230599768748,0.0
4,complete,0.31317650830180327,836.0076914634028,0.9637533891646495,0.0
4,average,0.35653764203589144,899.4998352987394,0.8237541798957746,0.0
4,single,-0.21416361359535824,2.7492403137656884,1.0058200260016077,0.0
5,ward,0.3246847783545402,909.6064432012248,0.9794893162471329,0.0
5,complete,0.3238580714404309,867.6677816644672,0.909104776106736,0.0
5,average,0.3670648416116896,960.1788605907918,0.8289971716868125,0.0
5,single,-0.27588718941422463,3.0014689798365612,0.8979256774093619,0.0
6,ward,0.3269724657755801,941.0992721193455,0.9216414246336995,0.0
6,complete,0.31805002781303043,837.2660817088398,0.9377722727703968,0.0
6,average,0.3559167055898724,991.0394505944525,0.8301696301993413,0.0
6,single,-0.3473065807877676,2.8949996194087366,0.8438694561607086,0.0
8,ward,0.33767957369953333,978.9424995061379,0.9054580158010922,0.0
8,complete,0.2813298377234173,823.7996857776978,0.9125025445629497,0.0
8,average,0.31321359754083666,888.0183909621342,0.9293607577415726,0.0
8,single,-0.3706212685981787,4.497217426568463,0.7817712339680352,0.0
10,ward,0.35994484083113554,991.402054676747,0.8009727922348262,0.0
10,complete,0.30109202510184074,894.2208755938194,0.8458024613246469,0.0
10,average,0.31907966774730134,867.0733962608361,0.8331447910346335,0.0
10,single,-0.44498826684078957,4.2974701216379465,0.7703155194742798,0.0
