n_components,covariance_type,silhouette,calinski_harabasz,davies_bouldin,noise_fraction,bic,aic
2,full,0.7562562823295593,7348.363401191308,0.343918355332618,0.0,10334.360248181269,10278.837558746338
2,tied,0.7562562823295593,7348.363401191308,0.343918355332618,0.0,10815.43351110765,10775.053373336792
2,diag,0.7562562823295593,7348.363401191308,0.343918355332618,0.0,10537.478272210234,10492.050617218018
2,spherical,0.7562562823295593,7348.363401191308,0.343918355332618,0.0,10793.66903488666,10758.336414337158
3,full,0.5739172101020813,5141.968800433421,0.7947495091991724,0.0,9508.694625953993,9422.886833190918
3,tied,0.570355236530304,5144.145611714528,0.7524482118239403,0.0,10715.7399478883,10660.21725845337
3,diag,0.5032001733779907,4204.243944453861,0.9731243492514124,0.0,9772.914556360844,9702.24931526184
3,spherical,0.6769854426383972,6479.05868935338,0.3341654702246184,0.0,9903.804475399897,9848.281785964966
4,full,0.5688873529434204,7109.980412490121,0.596861709549785,0.0,8949.015637027496,8832.92274093628
4,tied,0.5761852264404297,7128.30749768363,0.5357342762323525,0.0,9542.130616999271,9471.465375900269
4,diag,0.5713871717453003,7118.498967681341,0.5886989412911516,0.0,9344.52351659788,9248.62068939209
4,spherical,0.5646311640739441,6688.863013815524,0.4941774380963585,0.0,9539.837323444872,9464.124565124512
5,full,0.6010160446166992,7517.537252469125,0.5463922096425219,0.0,8859.925093764454,8713.547094345093
5,tied,0.5973166227340698,7481.017259467184,0.5502919178387632,0.0,9507.393909553846,9421.586116790771
5,diag,0.6049017906188965,7273.944718285008,0.5264074940466068,0.0,9105.391648320814,8984.25123500824
5,spherical,0.5936441421508789,7406.1369806521225,0.5497194283949215,0.0,9328.071537914408,9232.168710708618
6,full,0.5568574070930481,10226.007832403471,0.5958500400164436,0.0,8625.015577913826,8448.35247516632
6,tied,0.5512694716453552,10134.433116720436,0.6062695494805362,0.0,8964.365528448143,8863.415184020996
6,diag,0.5607414841651917,9690.32881974627,0.5791961103531811,0.0,8783.865537757069,8637.487538337708
6,spherical,0.5494876503944397,9978.251066891713,0.59862272231011,0.0,8962.096829997772,8846.003933906555
8,full,0.4895288646221161,9436.661307836064,0.6911125581047018,0.0,8427.169107095138,8189.935797691345
8,tied,0.5398828983306885,11987.833167470899,0.642440223973215,0.0,8700.432818284464,8569.197370529175
8,diag,0.5399799346923828,11828.31233656425,0.6320786411763556,0.0,8706.587662027527,8509.734490394592
8,spherical,0.5419198274612427,11969.13785383878,0.6344158309951948,0.0,8688.84242053505,8532.369386672974
10,full,0.4480263888835907,8679.113508252527,0.783272236971364,0.0,8140.1265026628635,7842.322986602783
10,tied,0.48589232563972473,11051.533647892316,0.7321405997415548,0.0,8717.43839967047,8555.917848587036
10,diag,0.4495407044887543,9312.434930881722,0.7701488225187276,0.0,8505.320585705944,8257.992241859436
10,spherical,0.47064149379730225,10656.442865920197,0.6725748295973164,0.0,8539.675368593384,8342.82219696045
