metric,regress_out_volume,perplexity,trustworthiness
euclidean,False,5,0.7478944564738346
euclidean,False,15,0.7551023051717861
euclidean,False,30,0.7559243489757985
euclidean,False,50,0.7597344166171652
euclidean,False,75,0.7539112039396785
euclidean,True,5,0.7077549581313354
euclidean,True,15,0.7441639488761569
euclidean,True,30,0.7510675072336023
euclidean,True,50,0.7567992028666143
euclidean,True,75,0.7473304079560044
jaccard,False,5,0.947168145323548
jaccard,False,15,0.9524465479908789
jaccard,False,30,0.947604345909901
jaccard,False,50,0.9401125950907314
jaccard,False,75,0.9426708567267711
dice,False,5,0.9467999310173032
dice,False,15,0.9538858336367294
dice,False,30,0.9523058999367658
dice,False,50,0.9495510376147316
dice,False,75,0.9496745166420756
