n_clusters,n_neighbors,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
2,10,-0.17973092198371887,5.337498695453245,1.7996245654322325,0.0
2,30,0.7562562823295593,7348.363401191308,0.343918355332618,0.0
2,50,0.7562562823295593,7348.363401191308,0.343918355332618,0.0
2,100,0.7562562823295593,7348.363401191308,0.343918355332618,0.0
3,10,0.2449149191379547,1513.1341104673913,1.1395180116893469,0.0
3,30,0.4818238317966461,3009.627667000763,0.7059650824177899,0.0
3,50,0.6769854426383972,6479.05868935338,0.3341654702246184,0.0
3,100,0.3761512339115143,1837.981648940351,0.8919753142881253,0.0
4,10,0.2890656590461731,1324.1273437262262,0.7525309244889182,0.0
4,30,0.5857415795326233,2220.23333168203,0.5177387012250516,0.0
4,50,0.6325127482414246,5360.481422698304,0.4761110177032043,0.0
4,100,0.4184863567352295,4454.712517332931,0.8003632129139229,0.0
5,10,0.25654909014701843,1072.7026115627411,0.7417922244750695,0.0
5,30,0.6035521626472473,4070.3845254643825,0.48598439325344656,0.0
5,50,0.5334985256195068,7737.036364424087,0.6223190967357624,0.0
5,100,0.4403243064880371,4013.735449929303,0.7410886531311804,0.0
6,10,0.22956430912017822,809.4493189863075,1.7958459265396616,0.0
6,30,0.486433207988739,5523.237176892924,0.6000286852369464,0.0
6,50,0.5530934929847717,10065.796346971903,0.5982843049809672,0.0
6,100,0.5507168173789978,9810.601938629847,0.6021080671390914,0.0
8,10,0.2945701479911804,781.82484169934,1.2922173310254375,0.0
8,30,0.33772942423820496,1614.1768408715009,1.1898689112457692,0.0
8,50,0.5064917206764221,8543.208070918517,0.6667113356534005,0.0
8,100,0.5361611247062683,11800.364639387773,0.6429502835039347,0.0
10,10,0.20833826065063477,553.0553177112589,1.3284005641220586,0.0
10,30,0.490649938583374,9651.338549039443,0.6556178884614299,0.0
10,50,0.4660976827144623,9983.020067052696,0.7077615902653562,0.0
10,100,0.49689584970474243,11162.24875257218,0.7233599596041094,0.0
11,10,0.23580017685890198,598.6169767229397,1.1831466430563025,0.0
11,30,0.4804842472076416,9059.530797301873,0.6491240663608239,0.0
11,50,0.46470460295677185,10724.13019069335,0.7518714220071445,0.0
11,100,0.4859457314014435,10787.149235734883,0.7410963657696427,0.0
12,10,0.2538800835609436,776.7713162576329,1.6950073020375427,0.0
12,30,0.4885537922382355,8555.21453981408,0.608115792970247,0.0
12,50,0.46096163988113403,10701.41701700099,0.7582302907681245,0.0
12,100,0.492365300655365,11347.215018137222,0.7056926798352037,0.0
13,10,0.2648400366306305,611.8416168449726,1.5937817561928147,0.0
13,30,0.49923011660575867,9273.957172547236,0.6681424400637543,0.0
13,50,0.4749535620212555,11082.383561641236,0.7053640362181285,0.0
13,100,0.47990626096725464,11460.876822869344,0.7421905503372326,0.0
14,10,0.2026277482509613,532.8841314756093,1.0349920303969142,0.0
14,30,0.4669780731201172,9636.038283004093,0.6753919329670631,0.0
14,50,0.4685107469558716,11404.818192005288,0.7138339873314622,0.0
14,100,0.4787675142288208,11521.09040979159,0.7408660056095171,0.0
15,10,0.27661216259002686,467.16277429813124,1.432749822503756,0.0
15,30,0.4506393373012543,8838.007564168582,0.707659195091447,0.0
15,50,0.4701360762119293,11527.80649812285,0.7209773175577295,0.0
15,100,0.4687960147857666,11719.783360304173,0.7616052541405994,0.0
