n_clusters,linkage,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
2,ward,0.39844682812690735,1003.6071743165409,0.9508835599007632,0.0
2,complete,0.40780478715896606,988.7819715389147,0.9415109367820237,0.0
2,average,0.402219295501709,991.2163131116214,0.9605876307517897,0.0
2,single,0.14243032038211823,5.215231310069867,0.6845254658742982,0.0
3,ward,0.33492159843444824,868.7933319043462,1.0454799310471874,0.0
3,complete,0.3744717538356781,951.1223778817537,0.9042679864608093,0.0
3,average,0.3586972653865814,946.3108681968358,0.9623092010415241,0.0
3,single,-0.17860718071460724,4.092541764104335,1.0037841158210334,0.0
4,ward,0.34005865454673767,870.2001853121602,0.9893653960270892,0.0
4,complete,0.3629394471645355,925.9937044073591,0.8930964933316026,0.0
4,average,0.37315744161605835,977.958156668946,0.9384198393474525,0.0
4,single,-0.2120746225118637,2.7392757262257326,0.9958981611585644,0.0
5,ward,0.32194915413856506,912.7674851216582,0.9259792278202044,0.0
5,complete,0.37433329224586487,1029.821520671768,0.9064891646511217,0.0
5,average,0.35624268651008606,931.1092837870721,0.8106320217667504,0.0
5,single,-0.24329985678195953,2.444328943301891,0.9418011285787079,0.0
6,ward,0.33672550320625305,954.8030314412559,0.8789692265301351,0.0
6,complete,0.3529030382633209,950.1556192556587,0.8742158875924154,0.0
6,average,0.36233454942703247,909.0235506870557,0.8183175755993672,0.0
6,single,-0.30936989188194275,2.432141421448982,0.8817645643608375,0.0
8,ward,0.3394957482814789,987.2467134071359,0.879598545783645,0.0
8,complete,0.3273777365684509,958.414160004614,0.8592154404902261,0.0
8,average,0.3396000564098358,860.3422656937099,0.8286393350801982,0.0
8,single,-0.3822808563709259,3.1839964791339277,0.8547387693376578,0.0
10,ward,0.3295882046222687,1000.6707670242305,0.8876387502359482,0.0
10,complete,0.32558029890060425,943.3261455946881,0.8968164263897493,0.0
10,average,0.35009539127349854,931.3560964650039,0.7734578304975857,0.0
10,single,-0.4031243920326233,8.468705697791847,0.8492771624340291,0.0
