n_components,covariance_type,silhouette,calinski_harabasz,davies_bouldin,noise_fraction,bic,aic
2,full,0.42654971469292063,1084.0896474925232,0.9165006863474741,0.0,18578.27783846317,18522.755149028242
2,tied,0.4260759198338866,1075.2332766347552,0.9163033753684957,0.0,18572.82923001632,18532.44909224546
2,diag,0.42776405453780475,1086.9927993615959,0.9135751407109705,0.0,18595.839839476917,18550.412184484703
2,spherical,0.42583037652566635,1094.8786195749346,0.9189157715032439,0.0,18603.25793092953,18567.92531038003
3,full,0.3839454096832878,1038.3886995821645,0.9326017426573129,0.0,18514.71404609269,18428.906253329616
3,tied,0.37363738691357806,1020.3927374534094,0.9646048484775198,0.0,18536.73983889661,18481.21714946168
3,diag,0.37763158484254505,1020.2505412575011,0.933836784815396,0.0,18514.305274889393,18443.64003379039
3,spherical,0.39517132212191247,1059.3455154829205,0.8830561743004847,0.0,18535.051610331622,18479.528920896693
4,full,0.33695621993303804,775.9019752622588,0.7777515129571947,0.0,18360.44808497649,18244.355188885274
4,tied,0.40041678047888773,1065.2195841606815,0.8638760345171037,0.0,18454.828578601806,18384.163337502803
4,diag,0.37029338008516816,935.5429958988095,0.8535307385425516,0.0,18403.29169439125,18307.388867185462
4,spherical,0.3748605363800852,945.3014331835111,0.8086072487570873,0.0,18467.268138901574,18391.555380581216
5,full,0.36516258085957076,947.0317269910878,0.8492293223021588,0.0,18336.887256821086,18190.509257401725
5,tied,0.4093539069595795,1130.468729299413,0.7828652366718448,0.0,18433.236585393322,18347.42879263025
5,diag,0.37199393991987445,974.9278868120683,0.7967637494796175,0.0,18398.10725328717,18276.966839974593
5,spherical,0.40527793429251324,1119.9978820080034,0.772010367021618,0.0,18448.298513571015,18352.395686365227
6,full,0.37191553347461,982.1077364991811,0.9122587360265785,0.0,18372.541398583508,18195.878295836003
6,tied,0.38798190873431043,1072.9730627335277,0.8252032576836253,0.0,18407.058229344595,18306.10788491745
6,diag,0.37971387569521303,1043.5791158072125,0.8587738458803265,0.0,18449.898574100327,18303.520574680966
6,spherical,0.39599441970803206,1122.298195762494,0.8520396244138869,0.0,18461.596767769912,18345.503871678695
8,full,0.341324773556425,927.1731934297555,0.9019212994379147,0.0,18366.85721242848,18129.623903024687
8,tied,0.3600395416169854,1042.045527642799,0.8601973039505862,0.0,18410.62775365484,18279.39230589955
8,diag,0.37418501392769,1069.597187062813,0.8145961757658373,0.0,18440.51696529033,18243.663793657397
8,spherical,0.3631604843870691,1064.8704864100691,0.815283149125815,0.0,18445.675409529136,18289.20237566706
10,full,0.34799555389787834,990.4886531144948,0.8340480994807791,0.0,18415.43918067185,18117.635664611767
10,tied,0.36779648307004453,1131.5310327232685,0.8032248160726908,0.0,18403.423730803635,18241.9031797202
10,diag,0.37331320552138453,1105.3178018882631,0.7899427752048995,0.0,18439.44818037751,18192.119836531
10,spherical,0.37964960046523344,1146.3342730139009,0.7804555185955546,0.0,18379.428944116455,18182.57577248352
