n_components,silhouette,calinski_harabasz,davies_bouldin,noise_fraction,bic,aic
2,0.40252344890372044,1218.6143902511972,0.9036700677699125,0.0,8098.729822617377,8043.207133182447
3,0.47088144629659795,1624.8909883436163,0.743396642087545,0.0,7881.970782213489,7796.162989450415
4,0.44960459328412644,1469.466859271116,0.7851459500435825,0.0,7688.586198209695,7572.493302118477
5,0.42825063678771935,1230.9512965606557,0.7459080262782335,0.0,7696.1100996975,7549.732100278138
6,0.4219267004295774,1254.2538993679545,0.7570047867208293,0.0,7668.397128162276,7491.734025414771
8,0.3425906256905127,1090.0373981884757,1.0390506508699908,0.0,7615.796046943856,7378.562737540063
10,0.3857666569860612,1397.7015851099993,0.8629062813830466,0.0,7627.80409500644,7330.000578946359
