n_neighbors,metric,trustworthiness
5,euclidean,0.7402150727192596
5,jaccard,0.9426644949891736
5,dice,0.9421235939985054
15,euclidean,0.7369974131488686
15,jaccard,0.9454683350259643
15,dice,0.9453585758905475
30,euclidean,0.7322288692586276
30,jaccard,0.9406311150286469
30,dice,0.9407698468967367
50,euclidean,0.7242750110180696
50,jaccard,0.9332447544407612
50,dice,0.9339179489144807
100,euclidean,0.7181652902063733
100,jaccard,0.930893517542683
100,dice,0.9292232931572997
