n_components,cumulative_explained_variance
2,0.22943916651323604
5,0.33748765273178927
10,0.43368647808240784
15,0.48228427513641714
20,0.5138438549185247
25,0.5391612677330598
30,0.5595675200848245
32,0.5668295983350473
34,0.5735506182467165
36,0.579876617151378
38,0.5860909613351097
40,0.5921127797913488
42,0.597907974376989
44,0.6034014239682517
46,0.608566666448069
48,0.613883799415035
50,0.6188136321268478
75,0.6677555426216364
100,0.7045374705937699
150,0.7585861579191083
