n_neighbors,min_dist,trustworthiness
5,0.0,0.7402150727192596
5,0.1,0.739038994385575
5,0.25,0.7338225994979592
5,0.5,0.728026596662004
15,0.0,0.7369974131488686
15,0.1,0.7375150899649339
15,0.25,0.7278496177208884
15,0.5,0.7208927893919942
30,0.0,0.7322288692586276
30,0.1,0.7291317761128251
30,0.25,0.7241966006859946
30,0.5,0.7172607737559162
50,0.0,0.7242750110180696
50,0.1,0.7247743690957518
50,0.25,0.7104997029911664
50,0.5,0.7063877977274033
