n_clusters,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
2,0.41260334849357605,1079.7559674395934,0.9442522157166614,0.0
3,0.3519839644432068,796.935664104431,0.8727834696932474,0.0
4,0.3901825547218323,1017.8415947843336,0.8594001437498808,0.0
5,0.3980345129966736,1091.3033706787085,0.8299156009184507,0.0
6,0.362430602312088,979.084896522714,0.8276533163812269,0.0
8,0.3513815104961395,1003.8855304482286,0.8495519279963648,0.0
10,0.35690295696258545,1064.1605952244388,0.8157803908126006,0.0
11,0.37022003531455994,1144.682261236333,0.7816439625884507,0.0
12,0.37517228722572327,1166.9502023807527,0.7791099311475644,0.0
13,0.36902105808258057,1185.5938604725452,0.7820435935304487,0.0
14,0.3697899281978607,1216.9500862683462,0.7724457312081972,0.0
15,0.36394137144088745,1206.884951311721,0.7697238288180273,0.0
