n_clusters,linkage,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
2,ward,0.6018718481063843,2699.7965282517084,0.5703056228808582,0.0
2,complete,0.6022037267684937,2754.138960557214,0.587013546933798,0.0
2,average,0.6022037267684937,2754.138960557214,0.587013546933798,0.0
2,single,0.6022037267684937,2754.138960557214,0.587013546933798,0.0
3,ward,0.4661146104335785,2122.533813961464,0.8057170423566999,0.0
3,complete,0.49835991859436035,2200.6195171956133,0.758740381933085,0.0
3,average,0.38259533047676086,1688.7719802161928,0.8600497780624,0.0
3,single,0.3291129171848297,1476.8068814373935,0.6104662121394667,0.0
4,ward,0.48236072063446045,2045.6306265066646,0.7835049278408895,0.0
4,complete,0.40456536412239075,2083.926444895079,0.9532028364628373,0.0
4,average,0.4169105589389801,2002.1275837011524,0.8637126663317071,0.0
4,single,0.23370538651943207,1009.031699734193,0.6798403395138557,0.0
5,ward,0.43326979875564575,2231.90931530689,0.8166419532551522,0.0
5,complete,0.38074952363967896,1803.7689954861703,0.8545686600649519,0.0
5,average,0.4168539047241211,2005.751187147409,0.8101524400316302,0.0
5,single,0.22302068769931793,802.846958247026,0.6879415029125252,0.0
6,ward,0.41763848066329956,2138.6568620740873,0.8460711660114963,0.0
6,complete,0.3819369971752167,1948.6600482469582,0.8548518025922882,0.0
6,average,0.4116833508014679,2080.120228060685,0.8302057540788033,0.0
6,single,0.19332481920719147,641.9337645168015,0.6692660704426528,0.0
8,ward,0.3979174792766571,2254.086666168188,0.8439193346159664,0.0
8,complete,0.388160765171051,2162.612617088211,0.8282926014166863,0.0
8,average,0.37053656578063965,1936.891649191055,0.7923933632955356,0.0
8,single,0.016347119584679604,482.2700101042261,0.6561143427901783,0.0
10,ward,0.3659037947654724,2091.082438742944,0.9056758885620981,0.0
10,complete,0.36138904094696045,2046.231267970595,0.9084014316820184,0.0
10,average,0.3787826895713806,2098.463010640891,0.827805715748878,0.0
10,single,-0.0773397833108902,378.36187678818703,0.7161096689162271,0.0
