n_clusters,n_neighbors,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
2,10,0.4285784065723419,1158.1618094542741,0.8175164295148728,0.0
2,30,0.410150945186615,1234.945241461875,0.8888187723270886,0.0
2,50,0.4050043523311615,1229.3665754031488,0.9040881378127668,0.0
2,100,0.40365803241729736,1226.5393045420396,0.9072079328689017,0.0
3,10,0.37930092215538025,522.7417457299898,0.6404305180815403,0.0
3,30,0.37770041823387146,1058.5599721472033,0.8785146350210695,0.0
3,50,0.3764877915382385,1053.5135963604714,0.8801719387754393,0.0
3,100,0.4123542308807373,1104.4213751282573,0.7918551935486953,0.0
4,10,0.4095325767993927,1025.9093563245087,0.6702554910350169,0.0
4,30,0.44529807567596436,1226.0792532489672,0.7067588931011944,0.0
4,50,0.4458497166633606,1229.6396859471708,0.7056041081491119,0.0
4,100,0.46197137236595154,1430.1418010051038,0.7768931872906796,0.0
5,10,0.39788249135017395,1022.0869242572961,0.6819745583050612,0.0
5,30,0.45722997188568115,1313.707820579373,0.6698022139702295,0.0
5,50,0.4578244984149933,1334.4580880002875,0.6759047988492146,0.0
5,100,0.46438488364219666,1385.749859635314,0.6894926063430376,0.0
6,10,0.29105791449546814,669.2997976855221,0.6878084306821703,0.0
6,30,0.44630298018455505,1366.934839001749,0.6965627732238463,0.0
6,50,0.4464748799800873,1378.2433287739632,0.714466293288441,0.0
6,100,0.4580197036266327,1427.815907171215,0.7411900260455838,0.0
8,10,0.4023866355419159,1174.637505201646,0.6986185280702046,0.0
8,30,0.4365197420120239,1337.903187643672,0.6658243057642318,0.0
8,50,0.43954765796661377,1375.4325139329833,0.6922854004450518,0.0
8,100,0.3981228768825531,1477.739721037314,0.8016503772178345,0.0
10,10,0.3555666208267212,1092.3219957525496,0.6701484571242785,0.0
10,30,0.38323429226875305,1377.1640500501674,0.7382481966878659,0.0
10,50,0.38217321038246155,1426.2314282220048,0.7702763150475155,0.0
10,100,0.39918872714042664,1583.7243815511788,0.7706761330149158,0.0
11,10,0.33815112709999084,1033.4671381879402,0.7158820602902413,0.0
11,30,0.3922346532344818,1419.8826876254507,0.7591904004972515,0.0
11,50,0.37528327107429504,1464.305896937552,0.7467897189176081,0.0
11,100,0.3928787410259247,1522.6328920313417,0.805746730389712,0.0
12,10,0.37627920508384705,1287.8785553366986,0.7460957871858888,0.0
12,30,0.39792200922966003,1532.4739330295913,0.7506272318673856,0.0
12,50,0.3833772540092468,1500.2691509994186,0.7754708722984871,0.0
12,100,0.4066833257675171,1643.2715903318813,0.7861331473087646,0.0
13,10,0.38140809535980225,1303.3448942274913,0.706081523635725,0.0
13,30,0.37780433893203735,1450.3167540972938,0.7384073468033081,0.0
13,50,0.39959773421287537,1552.4341663984146,0.7424314075518215,0.0
13,100,0.416253924369812,1681.86827546361,0.7424500550622564,0.0
14,10,0.3723180592060089,1283.9859208216824,0.7223679476124867,0.0
14,30,0.3811415731906891,1521.6750323580504,0.740514589757317,0.0
14,50,0.38523438572883606,1559.903239295431,0.7464597131693754,0.0
14,100,0.40778353810310364,1678.3277258740345,0.7493153837357037,0.0
15,10,0.34786224365234375,1350.524906818725,0.7427060837234769,0.0
15,30,0.37850189208984375,1515.8079929870958,0.7385729925267371,0.0
15,50,0.4005465507507324,1654.5898682145398,0.7359389938137445,0.0
15,100,0.4091529846191406,1670.9042986436234,0.7594792219227685,0.0
