n_clusters,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
2,0.6492274706413286,817.0341426794872,0.6482595331693541,0.0
3,0.6956203209961385,1577.7280368332506,0.5309614258788914,0.0
4,0.6858197919184905,1595.1913291436279,0.536555502981394,0.0
5,0.6539871701901057,1962.2689831256755,0.5263576774917204,0.0
6,0.6603516834419396,2032.4420192292769,0.5078389472454156,0.0
8,0.5856635153705915,2536.9500327527294,0.5416728725104836,0.0
10,0.5856690331341569,3288.2613782194435,0.5222023654830515,0.0
