n_clusters,silhouette,calinski_harabasz,davies_bouldin,noise_fraction,inertia
2,0.42013400856414046,1104.8101604401547,0.933246950604152,0.0,244980.65714396053
3,0.393573959810995,1080.2760798743072,0.9063866541715303,0.0,166725.9857933902
4,0.40330463629491886,1105.2641273047352,0.903425172834206,0.0,123477.64223939554
5,0.41000385014503005,1162.0303094218716,0.8409382549817817,0.0,95018.01149783966
6,0.3882283601980874,1134.6781840721424,0.8656139571044558,0.0,80674.26401225547
8,0.3828884435403017,1129.3715594426515,0.8344167027309868,0.0,60681.65743351786
10,0.3826927458505251,1180.5903398533628,0.796573600087159,0.0,46581.603234021604
