index	label
1	7Networks_LH_Default_FPole_1
2	7Networks_LH_Default_FPole_2
3	7Networks_LH_Default_IPL_1
4	7Networks_LH_Default_IPL_2
5	7Networks_LH_Default_IPL_3
6	7Networks_LH_Default_IPL_4
7	7Networks_LH_Default_IPL_5
8	7Networks_LH_Default_IPL_6
9	7Networks_LH_Default_PCC_1
10	7Networks_LH_Default_PCC_2
11	7Networks_LH_Default_PCC_3
12	7Networks_LH_Default_PCC_4
13	7Networks_LH_Default_PFCd_1
14	7Networks_LH_Default_PFCd_10
15	7Networks_LH_Default_PFCd_2
16	7Networks_LH_Default_PFCd_3
17	7Networks_LH_Default_PFCd_4
18	7Networks_LH_Default_PFCd_5
19	7Networks_LH_Default_PFCd_6
20	7Networks_LH_Default_PFCd_7
21	7Networks_LH_Default_PFCd_8
22	7Networks_LH_Default_PFCd_9
23	7Networks_LH_Default_PFCl_1
24	7Networks_LH_Default_PFCl_2
25	7Networks_LH_Default_PFCm_1
26	7Networks_LH_Default_PFCm_2
27	7Networks_LH_Default_PFCm_3
28	7Networks_LH_Default_PFCm_4
29	7Networks_LH_Default_PFCm_5
30	7Networks_LH_Default_PFCv_1
31	7Networks_LH_Default_PFCv_2
32	7Networks_LH_Default_PFCv_3
33	7Networks_LH_Default_PFCv_4
34	7Networks_LH_Default_PFCv_5
35	7Networks_LH_Default_RSC
36	7Networks_LH_Default_ST
37	7Networks_LH_Default_Temp_1
38	7Networks_LH_Default_Temp_2
39	7Networks_LH_Default_Temp_3
40	7Networks_LH_Default_Temp_4
41	7Networks_LH_Default_Temp_5
42	7Networks_LH_Default_Temp_6
43	7Networks_LH_Default_Temp_7
44	7Networks_LH_Default_Temp_8
45	7Networks_LH_Default_Temp_9
46	7Networks_LH_Default_pCun_1
47	7Networks_LH_Default_pCun_2
48	7Networks_LH_Default_pCun_3
49	7Networks_LH_Cont_Cingm
50	7Networks_LH_Cont_FPole_1
51	7Networks_LH_Cont_FrMed
52	7Networks_LH_Cont_IPL_1
53	7Networks_LH_Cont_IPS_1
54	7Networks_LH_Cont_IPS_2
55	7Networks_LH_Cont_IPS_3
56	7Networks_LH_Cont_Ins
57	7Networks_LH_Cont_OFC
58	7Networks_LH_Cont_PCC
59	7Networks_LH_Cont_PFCd_1
60	7Networks_LH_Cont_PFCl_1
61	7Networks_LH_Cont_PFCl_2
62	7Networks_LH_Cont_PFCl_3
63	7Networks_LH_Cont_PFCl_4
64	7Networks_LH_Cont_PFCl_5
65	7Networks_LH_Cont_PFCl_6
66	7Networks_LH_Cont_PFCl_7
67	7Networks_LH_Cont_PFCl_8
68	7Networks_LH_Cont_PFCl_9
69	7Networks_LH_Cont_PFCv_1
70	7Networks_LH_Cont_pCun_1
71	7Networks_LH_Cont_pCun_2
72	7Networks_LH_Limbic_FPole
73	7Networks_LH_Limbic_Ins
74	7Networks_LH_Limbic_OFC_1
75	7Networks_LH_Limbic_OFC_2
76	7Networks_LH_Limbic_OFC_3
77	7Networks_LH_Limbic_OFC_4
78	7Networks_LH_Limbic_OFC_5
79	7Networks_LH_Limbic_PFCm
80	7Networks_LH_Limbic_PHC
81	7Networks_LH_Limbic_TempPole_1
82	7Networks_LH_Limbic_TempPole_2
83	7Networks_LH_Limbic_TempPole_3
84	7Networks_LH_Limbic_Temp_1
85	7Networks_LH_Limbic_Temp_2
86	7Networks_LH_SalVentAttn_FrMed_1
87	7Networks_LH_SalVentAttn_FrMed_2
88	7Networks_LH_SalVentAttn_FrMed_3
89	7Networks_LH_SalVentAttn_FrMed_4
90	7Networks_LH_SalVentAttn_FrOper_1
91	7Networks_LH_SalVentAttn_FrOper_2
92	7Networks_LH_SalVentAttn_IPL_1
93	7Networks_LH_SalVentAttn_IPL_2
94	7Networks_LH_SalVentAttn_IPL_3
95	7Networks_LH_SalVentAttn_IPL_4
96	7Networks_LH_SalVentAttn_IPL_5
97	7Networks_LH_SalVentAttn_Ins_1
