eps,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
0.3,,,,0.9956521739130435
0.5,0.9841148957428465,19152.508573120744,0.020433220944309497,0.9886956521739131
0.7,0.9436568884470228,7567.390282254864,0.07290888678932425,0.9582608695652174
1.0,0.5570594847713075,1710.1221879379993,0.33322871181478086,0.8243478260869566
1.5,0.30257866649684767,500.7570744498328,0.5658934580931213,0.3373913043478261
2.0,-0.020863131153706863,235.28155062317063,0.7528242657477132,0.11130434782608696
