n_clusters,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
2,0.7562562823295593,7348.363401191308,0.343918355332618,0.0
3,0.6769854426383972,6479.05868935338,0.3341654702246184,0.0
4,0.6325127482414246,5360.481422698304,0.4761110177032043,0.0
5,0.5334985256195068,7737.036364424087,0.6223190967357624,0.0
6,0.5530934929847717,10065.796346971903,0.5982843049809672,0.0
8,0.5064917206764221,8543.208070918517,0.6667113356534005,0.0
10,0.4660976827144623,9983.020067052696,0.7077615902653562,0.0
11,0.46470460295677185,10724.13019069335,0.7518714220071445,0.0
12,0.46096163988113403,10701.41701700099,0.7582302907681245,0.0
13,0.4749535620212555,11082.383561641236,0.7053640362181285,0.0
14,0.4685107469558716,11404.818192005288,0.7138339873314622,0.0
15,0.4701360762119293,11527.80649812285,0.7209773175577295,0.0
