n_components,silhouette,calinski_harabasz,davies_bouldin,noise_fraction,bic,aic
2,0.6043279767036438,2743.4410494209696,0.5737809322215723,0.0,20092.279845807,20036.75715637207
3,0.48936396837234497,2106.2957547544734,0.8381388687656103,0.0,19938.817001442272,19853.0092086792
4,0.4863714873790741,2111.0909146092217,0.7950389439060468,0.0,19918.62384854483,19802.530952453613
5,0.424531489610672,2168.1676699424384,0.839990990558943,0.0,19763.002648467213,19616.62464904785
6,0.44239097833633423,2266.26563226897,0.7829563018171845,0.0,19713.888845087593,19537.225742340088
8,0.3679732084274292,1961.946515499172,0.9062455460528323,0.0,19735.697840348617,19498.464530944824
10,0.37431445717811584,1971.5589461917507,0.8509742237374198,0.0,19710.89161649343,19413.08810043335
