eps,min_samples,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
0.3,3,,,,1.0
0.3,5,,,,1.0
0.3,10,,,,1.0
0.5,3,0.9549044370651245,7220.857612434109,0.04955306934514797,0.9834782608695652
0.5,5,,,,1.0
0.5,10,,,,1.0
0.7,3,0.8603081703186035,12065.251943012412,0.16322650816852857,0.9156521739130434
0.7,5,,,,1.0
0.7,10,,,,1.0
1.0,3,0.6425314545631409,6163.873251737592,0.3932415020688934,0.5591304347826087
1.0,5,0.9413752555847168,10588.579014126191,0.07351770521393476,0.9669565217391304
1.0,10,,,,1.0
1.5,3,0.3271189332008362,1197.5268339241109,0.5996777793206642,0.17391304347826086
1.5,5,0.541610062122345,3664.2959503711572,0.4984804609747688,0.5495652173913044
1.5,10,,,,0.991304347826087
2.0,3,0.07164450734853745,552.9943179948089,0.6911357657541198,0.06
2.0,5,0.19863268733024597,745.4713935754216,0.6356177309312737,0.1634782608695652
2.0,10,0.6530317664146423,5361.901078451399,0.46584055474913877,0.7973913043478261
