reduction_method,clustering_method,session,id,timestamp,params,output,notes
umap,kmeans,s1.1,d00_k4,26-07-26 16:42,"{""reduction_params"": {""n_neighbors"": 5, ""min_dist"": 0.0, ""n_components"": 2, ""random_state"": 0}, ""clustering_params"": {""n_clusters"": 4, ""random_state"": 0, ""n_init"": ""auto""}}",results/lesion/dim_reduction_clustering/umap/kmeans/26-07_s1.1_d00_k4,"production run with tuned values from TUNING_ANALYSIS.md/RUNNING_STRATEGIES.md (session s1.1): kmeans k=4 (default confirmed), agglomerative k=5, gmm n=4 (default confirmed), spectral n=8. dbscan excluded - open question, see RUNNING_STRATEGIES.md"
umap,agglomerative,s1.1,d00_n_clust5,26-07-26 16:42,"{""reduction_params"": {""n_neighbors"": 5, ""min_dist"": 0.0, ""n_components"": 2, ""random_state"": 0}, ""clustering_params"": {""n_clusters"": 5, ""linkage"": ""ward""}}",results/lesion/dim_reduction_clustering/umap/agglomerative/26-07_s1.1_d00_n_clust5,"production run with tuned values from TUNING_ANALYSIS.md/RUNNING_STRATEGIES.md (session s1.1): kmeans k=4 (default confirmed), agglomerative k=5, gmm n=4 (default confirmed), spectral n=8. dbscan excluded - open question, see RUNNING_STRATEGIES.md"
umap,gmm,s1.1,d00_n_comp4,26-07-26 16:42,"{""reduction_params"": {""n_neighbors"": 5, ""min_dist"": 0.0, ""n_components"": 2, ""random_state"": 0}, ""clustering_params"": {""n_components"": 4, ""random_state"": 0}}",results/lesion/dim_reduction_clustering/umap/gmm/26-07_s1.1_d00_n_comp4,"production run with tuned values from TUNING_ANALYSIS.md/RUNNING_STRATEGIES.md (session s1.1): kmeans k=4 (default confirmed), agglomerative k=5, gmm n=4 (default confirmed), spectral n=8. dbscan excluded - open question, see RUNNING_STRATEGIES.md"
umap,spectral,s1.1,d00_nn50,26-07-26 16:42,"{""reduction_params"": {""n_neighbors"": 5, ""min_dist"": 0.0, ""n_components"": 2, ""random_state"": 0}, ""clustering_params"": {""n_clusters"": 8, ""affinity"": ""nearest_neighbors"", ""n_neighbors"": 50, ""random_state"": 0}}",results/lesion/dim_reduction_clustering/umap/spectral/26-07_s1.1_d00_nn50,"production run with tuned values from TUNING_ANALYSIS.md/RUNNING_STRATEGIES.md (session s1.1): kmeans k=4 (default confirmed), agglomerative k=5, gmm n=4 (default confirmed), spectral n=8. dbscan excluded - open question, see RUNNING_STRATEGIES.md"
