eps,min_samples,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
0.3,3,0.9811506271362305,50482.02423071619,0.021649765375628044,0.9826086956521739
0.3,5,,,,0.9956521739130435
0.3,10,,,,1.0
0.5,3,0.783100426197052,12284.715630990215,0.22331929870666178,0.908695652173913
0.5,5,0.9883891344070435,37019.14734209424,0.014410114294605824,0.9886956521739131
0.5,10,,,,1.0
0.7,3,0.7209392189979553,4253.227916343971,0.2626645585963262,0.7469565217391304
0.7,5,0.9513794183731079,7261.92835715904,0.059866136664104716,0.9617391304347827
0.7,10,,,,0.9817391304347826
1.0,3,0.49854031205177307,802.2845810255482,0.4539162317983962,0.4017391304347826
1.0,5,0.5478518605232239,1218.1073974393228,0.3419447656129198,0.8226086956521739
1.0,10,,,,0.9695652173913043
1.5,3,0.13905811309814453,288.9922957070327,0.6524368363815917,0.11739130434782609
1.5,5,0.3017168343067169,504.26636724035274,0.6278774573632478,0.33217391304347826
1.5,10,0.9020683765411377,1721.9689183197538,0.10084093773452345,0.9052173913043479
2.0,3,-0.32020238041877747,55.009767519884825,0.8698217565706768,0.042608695652173914
2.0,5,-0.1789243072271347,77.50144798864359,0.825481507422814,0.09478260869565218
2.0,10,0.45231595635414124,736.2073029037573,0.5043117221944766,0.5304347826086957
